Subject	Sex	Group	Age	Date	Day	Session	trial_number	open_cylinder	comment			
Zee	m	old chimps	18	14/10/2018	3	1	2	1				
Zee	m	old chimps	18	14/10/2018	3	1	3	1				
Zee	m	old chimps	18	14/10/2018	3	1	4	0				
Zee	m	old chimps	18	14/10/2018	3	1	5	0				
Zee	m	old chimps	18	14/10/2018	3	1	6	1				
Zee	m	old chimps	18	14/10/2018	3	1	7	0				
Zee	m	old chimps	18	14/10/2018	3	1	8	0				
Zee	m	old chimps	18	14/10/2018	3	1	9	0				
Zee	m	old chimps	18	14/10/2018	3	1	10	0				
Zee	m	old chimps	18	14/10/2018	3	1	11	1				
Zee	m	old chimps	18	14/10/2018	3	1	12	0				
Alikaka	m	old chimps	16	15/10/2018	3	1	1	1				
Alikaka	m	old chimps	16	15/10/2018	3	1	2	1				
Alikaka	m	old chimps	16	15/10/2018	3	1	3	0				
Alikaka	m	old chimps	16	15/10/2018	3	1	4	0				
Alikaka	m	old chimps	16	15/10/2018	3	1	5	0				
Alikaka	m	old chimps	16	15/10/2018	3	1	6	0				
Alikaka	m	old chimps	16	15/10/2018	3	1	7	1				
Alikaka	m	old chimps	16	15/10/2018	3	1	8	0				
Alikaka	m	old chimps	16	15/10/2018	3	1	9	1				
Alikaka	m	old chimps	16	15/10/2018	3	1	10	0				
Alikaka	m	old chimps	16	15/10/2018	3	1	11	0				
Alikaka	m	old chimps	16	15/10/2018	3	1	12	1				
Cheetah	f	old chimps	31	15/10/2018	3	1	1	0				
Cheetah	f	old chimps	31	15/10/2018	3	1	2	0				
Cheetah	f	old chimps	31	15/10/2018	3	1	3	1				
Cheetah	f	old chimps	31	15/10/2018	3	1	4	0				
Cheetah	f	old chimps	31	15/10/2018	3	1	5	1				
Cheetah	f	old chimps	31	15/10/2018	3	1	6	0				
Cheetah	f	old chimps	31	15/10/2018	3	1	7	0				
Cheetah	f	old chimps	31	15/10/2018	3	1	8	1				
Cheetah	f	old chimps	31	15/10/2018	3	1	9	1				
Cheetah	f	old chimps	31	15/10/2018	3	1	10	1				
Cheetah	f	old chimps	31	15/10/2018	3	1	11	0				
Cheetah	f	old chimps	31	15/10/2018	3	1	12	1				
Mwanzo	f	old chimps	22	14/10/2018	3	1	1	1				
Mwanzo	f	old chimps	22	14/10/2018	3	1	2	0				
Mwanzo	f	old chimps	22	14/10/2018	3	1	3	0				
Mwanzo	f	old chimps	22	14/10/2018	3	1	4	1				
Mwanzo	f	old chimps	22	14/10/2018	3	1	5	0				
Mwanzo	f	old chimps	22	14/10/2018	3	1	6	1				
Mwanzo	f	old chimps	22	14/10/2018	3	1	7	1				
Mwanzo	f	old chimps	22	14/10/2018	3	1	8	0				
Mwanzo	f	old chimps	22	14/10/2018	3	1	9	0				
Mwanzo	f	old chimps	22	14/10/2018	3	1	10	1				
Mwanzo	f	old chimps	22	14/10/2018	3	1	11	0				
Mwanzo	f	old chimps	22	14/10/2018	3	1	12	0				
Mary	f	old chimps	15	14/10/2018	3	1	1	0	accumulated all cylinders in the beginning of the session			
Mary	f	old chimps	15	14/10/2018	3	1	2	0				
Mary	f	old chimps	15	14/10/2018	3	1	3	1				
Mary	f	old chimps	15	14/10/2018	3	1	4	1				
Mary	f	old chimps	15	14/10/2018	3	1	5	0				
Mary	f	old chimps	15	14/10/2018	3	1	6	0				
Mary	f	old chimps	15	14/10/2018	3	1	7	0				
Mary	f	old chimps	15	14/10/2018	3	1	8	1				
Mary	f	old chimps	15	14/10/2018	3	1	9	0				
Mary	f	old chimps	15	14/10/2018	3	1	10	0				
Mary	f	old chimps	15	14/10/2018	3	1	11	0				
Mary	f	old chimps	15	14/10/2018	3	1	12	0				
Edvard	m	old chimps	18	15/10/2018	3	1	1	1	Edvard did not eat the peanuts and stopped the search after a few lifts. Edvard did not eat peanuts on the following day. Excluded from this task			
Edvard	m	old chimps	18	15/10/2018	3	1	2	1				
Edvard	m	old chimps	18	15/10/2018	3	1	3	0				
Edvard	m	old chimps	18	15/10/2018	3	1	4	1				
Edvard	m	old chimps	18	15/10/2018	3	1	5	1				
Julia	f	old chimps	18	15/10/2018	3	1	1	0				
Julia	f	old chimps	18	15/10/2018	3	1	2	0				
Julia	f	old chimps	18	15/10/2018	3	1	3	1				
Julia	f	old chimps	18	15/10/2018	3	1	4	1				
Julia	f	old chimps	18	15/10/2018	3	1	5	0				
Julia	f	old chimps	18	15/10/2018	3	1	6	0				
Julia	f	old chimps	18	15/10/2018	3	1	7	0				
Julia	f	old chimps	18	15/10/2018	3	1	8	1				
Julia	f	old chimps	18	15/10/2018	3	1	9	0				
Julia	f	old chimps	18	15/10/2018	3	1	10	1				
Julia	f	old chimps	18	15/10/2018	3	1	11	0				
Julia	f	old chimps	18	15/10/2018	3	1	12	0				
Amahirwe	m	old chimps	20	14/10/2018	3	1	1	0				
Amahirwe	m	old chimps	20	14/10/2018	3	1	2	1				
Amahirwe	m	old chimps	20	14/10/2018	3	1	3	0				
Amahirwe	m	old chimps	20	14/10/2018	3	1	4	0				
Amahirwe	m	old chimps	20	14/10/2018	3	1	5	1				
Amahirwe	m	old chimps	20	14/10/2018	3	1	6	0				
Amahirwe	m	old chimps	20	14/10/2018	3	1	7	1				
Amahirwe	m	old chimps	20	14/10/2018	3	1	8	0				
Amahirwe	m	old chimps	20	14/10/2018	3	1	9	1				
Amahirwe	m	old chimps	20	14/10/2018	3	1	10	0				
Amahirwe	m	old chimps	20	14/10/2018	3	1	11	0				
Amahirwe	m	old chimps	20	14/10/2018	3	1	12	0				
Niyonkuru	m	young chimps	28	08/11/2018	3	1	1	0				
Niyonkuru	m	young chimps	28	08/11/2018	3	1	2	0				
Niyonkuru	m	young chimps	28	08/11/2018	3	1	3	0				
Niyonkuru	m	young chimps	28	08/11/2018	3	1	4	1				
Niyonkuru	m	young chimps	28	08/11/2018	3	1	5	0				
Niyonkuru	m	young chimps	28	08/11/2018	3	1	6	0				
Niyonkuru	m	young chimps	28	08/11/2018	3	1	7	0				
Niyonkuru	m	young chimps	28	08/11/2018	3	1	8	0				
Niyonkuru	m	young chimps	28	08/11/2018	3	1	9	1				
Niyonkuru	m	young chimps	28	08/11/2018	3	1	10	1				
Niyonkuru	m	young chimps	28	08/11/2018	3	1	11	1				
Niyonkuru	m	young chimps	28	08/11/2018	3	1	12	1				
Joy	f	young chimps	14	08/11/2018	3	1	1	0				
Joy	f	young chimps	14	08/11/2018	3	1	2	1				
Joy	f	young chimps	14	08/11/2018	3	1	3	1				
Joy	f	young chimps	14	08/11/2018	3	1	4	1				
Joy	f	young chimps	14	08/11/2018	3	1	5	1				
Joy	f	young chimps	14	08/11/2018	3	1	6	0				
Joy	f	young chimps	14	08/11/2018	3	1	7	1				
Joy	f	young chimps	14	08/11/2018	3	1	8	0				
Joy	f	young chimps	14	08/11/2018	3	1	9	1				
Joy	f	young chimps	14	08/11/2018	3	1	10	0				
Joy	f	young chimps	14	08/11/2018	3	1	11	1				
Joy	f	young chimps	14	08/11/2018	3	1	12	1				
Bahati	f	young chimps	25	08/11/2018	3	1	1	1				
Bahati	f	young chimps	25	08/11/2018	3	1	2	0				
Bahati	f	young chimps	25	08/11/2018	3	1	3	0				
Bahati	f	young chimps	25	08/11/2018	3	1	4	0				
Bahati	f	young chimps	25	08/11/2018	3	1	5	1				
Bahati	f	young chimps	25	08/11/2018	3	1	6	1				
Bahati	f	young chimps	25	08/11/2018	3	1	7	0				
Bahati	f	young chimps	25	08/11/2018	3	1	8	1				
Bahati	f	young chimps	25	08/11/2018	3	1	9	0				
Bahati	f	young chimps	25	08/11/2018	3	1	10	0				
Bahati	f	young chimps	25	08/11/2018	3	1	11	1				
Bahati	f	young chimps	25	08/11/2018	3	1	12	1				
Dufatanya	f	young chimps	27	08/11/2018	3	1	1	0				
Dufatanya	f	young chimps	27	08/11/2018	3	1	2	0				
Dufatanya	f	young chimps	27	08/11/2018	3	1	3	0				
Dufatanya	f	young chimps	27	08/11/2018	3	1	4	0				
Dufatanya	f	young chimps	27	08/11/2018	3	1	5	1				
Dufatanya	f	young chimps	27	08/11/2018	3	1	6	0				
Dufatanya	f	young chimps	27	08/11/2018	3	1	7	0				
Dufatanya	f	young chimps	27	08/11/2018	3	1	8	1				
Dufatanya	f	young chimps	27	08/11/2018	3	1	9	0				
Dufatanya	f	young chimps	27	08/11/2018	3	1	10	1				
Dufatanya	f	young chimps	27	08/11/2018	3	1	11	0				
Dufatanya	f	young chimps	27	08/11/2018	3	1	12	0				
Alley	f	old chimps	31	12/11/2018	3	1	1	0				
Alley	f	old chimps	31	12/11/2018	3	1	2	0				
Alley	f	old chimps	31	12/11/2018	3	1	3	0				
Alley	f	old chimps	31	12/11/2018	3	1	4	0				
Alley	f	old chimps	31	12/11/2018	3	1	5	1				
Alley	f	old chimps	31	12/11/2018	3	1	6	1				
Alley	f	old chimps	31	12/11/2018	3	1	7	1				
Alley	f	old chimps	31	12/11/2018	3	1	8	0				
Alley	f	old chimps	31	12/11/2018	3	1	9	0				
Alley	f	old chimps	31	12/11/2018	3	1	10	1				
Alley	f	old chimps	31	12/11/2018	3	1	11	0				
Alley	f	old chimps	31	12/11/2018	3	1	12	1				
Oscar	m	old chimps	21	12/11/2018	3	1	1	1				
Oscar	m	old chimps	21	12/11/2018	3	1	2	0				
Oscar	m	old chimps	21	12/11/2018	3	1	3	1				
Oscar	m	old chimps	21	12/11/2018	3	1	4	0				
Oscar	m	old chimps	21	12/11/2018	3	1	5	0				
Oscar	m	old chimps	21	12/11/2018	3	1	6	0				
Oscar	m	old chimps	21	12/11/2018	3	1	7	1				
Oscar	m	old chimps	21	12/11/2018	3	1	8	1				
Oscar	m	old chimps	21	12/11/2018	3	1	9	0				
Oscar	m	old chimps	21	12/11/2018	3	1	10	1				
Oscar	m	old chimps	21	12/11/2018	3	1	11	1				
Oscar	m	old chimps	21	12/11/2018	3	1	12	1				
Judy	f	old chimps	35	12/11/2018	3	1	1	0				
Judy	f	old chimps	35	12/11/2018	3	1	2	1				
Judy	f	old chimps	35	12/11/2018	3	1	3	0				
Judy	f	old chimps	35	12/11/2018	3	1	4	0				
Judy	f	old chimps	35	12/11/2018	3	1	5	0				
Judy	f	old chimps	35	12/11/2018	3	1	6	1				
Judy	f	old chimps	35	12/11/2018	3	1	7	1	stopped after 10 min			
Judy	f	old chimps	35	12/11/2018	3	1	8					
Judy	f	old chimps	35	12/11/2018	3	1	9					
Judy	f	old chimps	35	12/11/2018	3	1	10					
Judy	f	old chimps	35	12/11/2018	3	1	11					
Judy	f	old chimps	35	12/11/2018	3	1	12					
Ajabu	f	old chimps	10	12/11/2018	3	1	1	0				
Ajabu	f	old chimps	10	12/11/2018	3	1	2	0				
Ajabu	f	old chimps	10	12/11/2018	3	1	3	1				
Ajabu	f	old chimps	10	12/11/2018	3	1	4	0				
Ajabu	f	old chimps	10	12/11/2018	3	1	5	1				
Ajabu	f	old chimps	10	12/11/2018	3	1	6	0				
Ajabu	f	old chimps	10	12/11/2018	3	1	7	1				
Ajabu	f	old chimps	10	12/11/2018	3	1	8	0				
Ajabu	f	old chimps	10	12/11/2018	3	1	9	1				
Ajabu	f	old chimps	10	12/11/2018	3	1	10	0				
Ajabu	f	old chimps	10	12/11/2018	3	1	11	1				
Ajabu	f	old chimps	10	12/11/2018	3	1	12	1				
Safari	m	old chimps	34	13/11/2018	3	1	1	0				
Safari	m	old chimps	34	13/11/2018	3	1	2	1				
Safari	m	old chimps	34	13/11/2018	3	1	3	0				
Safari	m	old chimps	34	13/11/2018	3	1	4	0				
Safari	m	old chimps	34	13/11/2018	3	1	5	1				
Safari	m	old chimps	34	13/11/2018	3	1	6	1				
Safari	m	old chimps	34	13/11/2018	3	1	7	0				
Safari	m	old chimps	34	13/11/2018	3	1	8	1				
Safari	m	old chimps	34	13/11/2018	3	1	9	0				
Safari	m	old chimps	34	13/11/2018	3	1	10	0				
Safari	m	old chimps	34	13/11/2018	3	1	11	1				
Safari	m	old chimps	34	13/11/2018	3	1	12	0				
George	m	old chimps	15	13/11/2018	3	1	1	1				
George	m	old chimps	15	13/11/2018	3	1	2	1				
George	m	old chimps	15	13/11/2018	3	1	3	0				
George	m	old chimps	15	13/11/2018	3	1	4	0				
George	m	old chimps	15	13/11/2018	3	1	5	1				
George	m	old chimps	15	13/11/2018	3	1	6	0				
George	m	old chimps	15	13/11/2018	3	1	7	0				
George	m	old chimps	15	13/11/2018	3	1	8	0	stopped after 10 min			
George	m	old chimps	15	13/11/2018	3	1	9					
George	m	old chimps	15	13/11/2018	3	1	10					
George	m	old chimps	15	13/11/2018	3	1	11					
George	m	old chimps	15	13/11/2018	3	1	12					
Saidia	f	old chimps	15	15/11/2018	3	1	1	0				
Saidia	f	old chimps	15	15/11/2018	3	1	2	1				
Saidia	f	old chimps	15	15/11/2018	3	1	3	0				
Saidia	f	old chimps	15	15/11/2018	3	1	4	0				
Saidia	f	old chimps	15	15/11/2018	3	1	5	0				
Saidia	f	old chimps	15	15/11/2018	3	1	6	0	session stopped after 10 min			
Saidia	f	old chimps	15		3	1	7					
Saidia	f	old chimps	15		3	1	8					
Saidia	f	old chimps	15		3	1	9					
Saidia	f	old chimps	15		3	1	10					
Saidia	f	old chimps	15		3	1	11					
Saidia	f	old chimps	15		3	1	12					
Angela	f	old chimps	7	13/11/2018	3	1	1	0				
Angela	f	old chimps	7	13/11/2018	3	1	2	1				
Angela	f	old chimps	7	13/11/2018	3	1	3	0				
Angela	f	old chimps	7	13/11/2018	3	1	4	0				
Angela	f	old chimps	7	13/11/2018	3	1	5	0				
Angela	f	old chimps	7	13/11/2018	3	1	6	0				
Angela	f	old chimps	7	13/11/2018	3	1	7	1				
Angela	f	old chimps	7	13/11/2018	3	1	8	1				
Angela	f	old chimps	7	13/11/2018	3	1	9	0				
Angela	f	old chimps	7	13/11/2018	3	1	10	1				
Angela	f	old chimps	7	13/11/2018	3	1	11	1				
Angela	f	old chimps	7	13/11/2018	3	1	12	0				
Manno	m	young chimps	5	09/10/2018	4	2	1	1				
Manno	m	young chimps	5	09/10/2018	4	2	2	1				
Manno	m	young chimps	5	09/10/2018	4	2	3	1				
Manno	m	young chimps	5	09/10/2018	4	2	4	0				
Manno	m	young chimps	5	09/10/2018	4	2	5	1				
Manno	m	young chimps	5	09/10/2018	4	2	6	1				
Manno	m	young chimps	5	09/10/2018	4	2	7	1				
Manno	m	young chimps	5	09/10/2018	4	2	8	1				
Manno	m	young chimps	5	09/10/2018	4	2	9	0				
Manno	m	young chimps	5	09/10/2018	4	2	10	1				
Manno	m	young chimps	5	09/10/2018	4	2	11	1				
Manno	m	young chimps	5	09/10/2018	4	2	12	1				
William	m	young chimps	18	09/10/2018	4	2	1	0				
William	m	young chimps	18	09/10/2018	4	2	2	0				
William	m	young chimps	18	09/10/2018	4	2	3	1				
William	m	young chimps	18	09/10/2018	4	2	4	0				
William	m	young chimps	18	09/10/2018	4	2	5	0				
William	m	young chimps	18	09/10/2018	4	2	6	0				
William	m	young chimps	18	09/10/2018	4	2	7	0				
William	m	young chimps	18	09/10/2018	4	2	8	0				
William	m	young chimps	18	09/10/2018	4	2	9	1				
William	m	young chimps	18	09/10/2018	4	2	10	0				
William	m	young chimps	18	09/10/2018	4	2	11	0				
William	m	young chimps	18	09/10/2018	4	2	12	1	"5 pellets left, stopped after 5 min"			
Uruhara	m	young chimps	29	09/10/2018	4	2	1					
Uruhara	m	young chimps	29	09/10/2018	4	2	2					
Uruhara	m	young chimps	29	09/10/2018	4	2	3					
Uruhara	m	young chimps	29	09/10/2018	4	2	4					
Uruhara	m	young chimps	29	09/10/2018	4	2	5					
Uruhara	m	young chimps	29	09/10/2018	4	2	6					
Uruhara	m	young chimps	29	09/10/2018	4	2	7					
Uruhara	m	young chimps	29	09/10/2018	4	2	8					
Uruhara	m	young chimps	29	09/10/2018	4	2	9					
Uruhara	m	young chimps	29	09/10/2018	4	2	10					
Uruhara	m	young chimps	29	09/10/2018	4	2	11					
Uruhara	m	young chimps	29	09/10/2018	4	2	12					
Roy 	m	young chimps	11	09/10/2018	4	2	1	1				
Roy 	m	young chimps	11	09/10/2018	4	2	2	1				
Roy 	m	young chimps	11	09/10/2018	4	2	3	1				
Roy 	m	young chimps	11	09/10/2018	4	2	4	1				
Roy 	m	young chimps	11	09/10/2018	4	2	5	1				
Roy 	m	young chimps	11	09/10/2018	4	2	6	1				
Roy 	m	young chimps	11	09/10/2018	4	2	7	1				
Roy 	m	young chimps	11	09/10/2018	4	2	8	1				
Roy 	m	young chimps	11	09/10/2018	4	2	9	1				
Roy 	m	young chimps	11	09/10/2018	4	2	10	1				
Roy 	m	young chimps	11	09/10/2018	4	2	11	1				
Roy 	m	young chimps	11	09/10/2018	4	2	12	1				
Tess	f	young chimps	26	10/10/2018	4	2	1	1				
Tess	f	young chimps	26	10/10/2018	4	2	2	1				
Tess	f	young chimps	26	10/10/2018	4	2	3	1				
Tess	f	young chimps	26	10/10/2018	4	2	4	1				
Tess	f	young chimps	26	10/10/2018	4	2	5	1				
Tess	f	young chimps	26	10/10/2018	4	2	6	1				
Tess	f	young chimps	26	10/10/2018	4	2	7	1				
Tess	f	young chimps	26	10/10/2018	4	2	8	1				
Tess	f	young chimps	26	10/10/2018	4	2	9	1				
Tess	f	young chimps	26	10/10/2018	4	2	10	1				
Tess	f	young chimps	26	10/10/2018	4	2	11	1				
Tess	f	young chimps	26	10/10/2018	4	2	12	1				
Uruhara	m	young chimps	29	10/10/2018	4	2	1	1				
Uruhara	m	young chimps	29	10/10/2018	4	2	2	1				
Uruhara	m	young chimps	29	10/10/2018	4	2	3	0				
Uruhara	m	young chimps	29	10/10/2018	4	2	4	1				
Uruhara	m	young chimps	29	10/10/2018	4	2	5	0				
Uruhara	m	young chimps	29	10/10/2018	4	2	6	1				
Uruhara	m	young chimps	29	10/10/2018	4	2	7	1				
Uruhara	m	young chimps	29	10/10/2018	4	2	8	1				
Uruhara	m	young chimps	29	10/10/2018	4	2	9	0				
Uruhara	m	young chimps	29	10/10/2018	4	2	10	0				
Uruhara	m	young chimps	29	10/10/2018	4	2	11	1				
Uruhara	m	young chimps	29	10/10/2018	4	2	12	1				
Chipie	f	young chimps	27	11/10/2018	4	2	1	0				
Chipie	f	young chimps	27	11/10/2018	4	2	2	1				
Chipie	f	young chimps	27	11/10/2018	4	2	3	1				
Chipie	f	young chimps	27	11/10/2018	4	2	4	1				
Chipie	f	young chimps	27	11/10/2018	4	2	5	1				
Chipie	f	young chimps	27	11/10/2018	4	2	6	1				
Chipie	f	young chimps	27	11/10/2018	4	2	7	1				
Chipie	f	young chimps	27	11/10/2018	4	2	8	1				
Chipie	f	young chimps	27	11/10/2018	4	2	9	1				
Chipie	f	young chimps	27	11/10/2018	4	2	10	1				
Chipie	f	young chimps	27	11/10/2018	4	2	11	1				
Chipie	f	young chimps	27	11/10/2018	4	2	12	1				
Amizero	f	young chimps	29	11/10/2018	4	2	1	1				
Amizero	f	young chimps	29	11/10/2018	4	2	2	0				
Amizero	f	young chimps	29	11/10/2018	4	2	3	0				
Amizero	f	young chimps	29	11/10/2018	4	2	4	0				
Amizero	f	young chimps	29	11/10/2018	4	2	5	1				
Amizero	f	young chimps	29	11/10/2018	4	2	6	1				
Amizero	f	young chimps	29	11/10/2018	4	2	7	1				
Amizero	f	young chimps	29	11/10/2018	4	2	8	1				
Amizero	f	young chimps	29	11/10/2018	4	2	9	1				
Amizero	f	young chimps	29	11/10/2018	4	2	10	1				
Amizero	f	young chimps	29	11/10/2018	4	2	11	1				
Amizero	f	young chimps	29	11/10/2018	4	2	12	0				
Alikaka	m	old chimps	16	16/10/2018	4	2	1	1				
Alikaka	m	old chimps	16	16/10/2018	4	2	2	0				
Alikaka	m	old chimps	16	16/10/2018	4	2	3	1				
Alikaka	m	old chimps	16	16/10/2018	4	2	4	0				
Alikaka	m	old chimps	16	16/10/2018	4	2	5	1				
Alikaka	m	old chimps	16	16/10/2018	4	2	6	0				
Alikaka	m	old chimps	16	16/10/2018	4	2	7	1				
Alikaka	m	old chimps	16	16/10/2018	4	2	8	1				
Alikaka	m	old chimps	16	16/10/2018	4	2	9	0				
Alikaka	m	old chimps	16	16/10/2018	4	2	10	1				
Alikaka	m	old chimps	16	16/10/2018	4	2	11	0				
Alikaka	m	old chimps	16	16/10/2018	4	2	12	1				
Cheetah	f	old chimps	31	16/10/2018	4	2	1	1				
Cheetah	f	old chimps	31	16/10/2018	4	2	2	1				
Cheetah	f	old chimps	31	16/10/2018	4	2	3	1				
Cheetah	f	old chimps	31	16/10/2018	4	2	4	0				
Cheetah	f	old chimps	31	16/10/2018	4	2	5	0	did not touch more cylinders within 10 min			
Cheetah	f	old chimps	31	16/10/2018	4	2	6					
Cheetah	f	old chimps	31	16/10/2018	4	2	7					
Cheetah	f	old chimps	31	16/10/2018	4	2	8					
Cheetah	f	old chimps	31	16/10/2018	4	2	9					
Cheetah	f	old chimps	31	16/10/2018	4	2	10					
Cheetah	f	old chimps	31	16/10/2018	4	2	11					
Cheetah	f	old chimps	31	16/10/2018	4	2	12					
Mwanzo	f	old chimps	22	16/10/2018	4	2	1	0				
Mwanzo	f	old chimps	22	16/10/2018	4	2	2	1				
Mwanzo	f	old chimps	22	16/10/2018	4	2	3	1				
Mwanzo	f	old chimps	22	16/10/2018	4	2	4	0				
Mwanzo	f	old chimps	22	16/10/2018	4	2	5	0				
Mwanzo	f	old chimps	22	16/10/2018	4	2	6	0				
Mwanzo	f	old chimps	22	16/10/2018	4	2	7	1				
Mwanzo	f	old chimps	22	16/10/2018	4	2	8	1				
Mwanzo	f	old chimps	22	16/10/2018	4	2	9	0				
Mwanzo	f	old chimps	22	16/10/2018	4	2	10	0				
