Subject	Sex	Group	Age	Date	Day	Session	trial_number	correct	food_obtained	food_retrieved in the end	Comment
Chipie	f	young chimps		13/10/2018	5	1	1	0			
Chipie	f	young chimps		13/10/2018	5	1	2	0			
Chipie	f	young chimps		13/10/2018	5	1	3	1	1		
Chipie	f	young chimps		13/10/2018	5	1	4	1	0		
Chipie	f	young chimps		13/10/2018	5	1	5	1			
Chipie	f	young chimps		13/10/2018	5	1	6	0			
Chipie	f	young chimps	11	14/10/2018	5	2	1	1			
Chipie	f	young chimps	11	14/10/2018	5	2	2	0			
Chipie	f	young chimps	11	14/10/2018	5	2	3	0			
Chipie	f	young chimps	11	14/10/2018	5	2	4	1			
Chipie	f	young chimps	11	14/10/2018	5	2	5	0			
Chipie	f	young chimps	11	14/10/2018	5	2	6	1			
Amahirwe	m	old chimps	5	17/10/2018	5	1	1	0			
Amahirwe	m	old chimps	5	17/10/2018	5	1	2	0			
Amahirwe	m	old chimps	5	17/10/2018	5	1	3	0			
Amahirwe	m	old chimps	5	17/10/2018	5	1	4	1	1		
Amahirwe	m	old chimps	5	17/10/2018	5	1	5	1	1		
Amahirwe	m	old chimps	5	17/10/2018	5	1	6	1	1		
Amahirwe	m	old chimps	14	18/10/2018	5	2	1	0			
Amahirwe	m	old chimps	14	18/10/2018	5	2	2	1	1		
Amahirwe	m	old chimps	14	18/10/2018	5	2	3	0			
Amahirwe	m	old chimps	14	18/10/2018	5	2	4	1	1		
Amahirwe	m	old chimps	14	18/10/2018	5	2	5	0			
Amahirwe	m	old chimps	14	18/10/2018	5	2	6	0			
Alikaka	m	old chimps	5	17/10/2018	5	1	1	1	0		
Alikaka	m	old chimps	5	17/10/2018	5	1	2	0			
Alikaka	m	old chimps	5	17/10/2018	5	1	3	0			
Alikaka	m	old chimps	5	17/10/2018	5	1	4	0			
Alikaka	m	old chimps	5	17/10/2018	5	1	5	0			
Alikaka	m	old chimps	5	17/10/2018	5	1	6	1	1		
Alikaka	m	old chimps	14	18/10/2018	5	2	1	1	1		
Alikaka	m	old chimps	14	18/10/2018	5	2	2	0			
Alikaka	m	old chimps	14	18/10/2018	5	2	3	1	1		
Alikaka	m	old chimps	14	18/10/2018	5	2	4	0			
Alikaka	m	old chimps	14	18/10/2018	5	2	5	1	0		
Alikaka	m	old chimps	14	18/10/2018	5	2	6	0			
Zee	m	old chimps	5	17/10/2018	5	1	1	0			
Zee	m	old chimps	5	17/10/2018	5	1	2	1	1		
Zee	m	old chimps	5	17/10/2018	5	1	3	0			
Zee	m	old chimps	5	17/10/2018	5	1	4	0			
Zee	m	old chimps	5	17/10/2018	5	1	5	1	1		
Zee	m	old chimps	5	17/10/2018	5	1	6	0			
Zee	m	old chimps	14	18/10/2018	5	2	1	0			
Zee	m	old chimps	14	18/10/2018	5	2	2	0			
Zee	m	old chimps	14	18/10/2018	5	2	3	0			
Zee	m	old chimps	14	18/10/2018	5	2	4	0			
Zee	m	old chimps	14	18/10/2018	5	2	5	1	1		
Zee	m	old chimps	14	18/10/2018	5	2	6	1	1		
Edvard	m	old chimps	5	17/10/2018	5	1	1				
Edvard	m	old chimps	5	17/10/2018	5	1	2				
Edvard	m	old chimps	5	17/10/2018	5	1	3				
Edvard	m	old chimps	5	17/10/2018	5	1	4				
Edvard	m	old chimps	5	17/10/2018	5	1	5				
Edvard	m	old chimps	5	17/10/2018	5	1	6				
Edvard	m	old chimps	14	18/10/2018	5	2	1	0			
Edvard	m	old chimps	14	18/10/2018	5	2	2	0			
Edvard	m	old chimps	14	18/10/2018	5	2	3	1	1		
Edvard	m	old chimps	14	18/10/2018	5	2	4	0			
Edvard	m	old chimps	14	18/10/2018	5	2	5	0			
Edvard	m	old chimps	14	18/10/2018	5	2	6	0			
Mwanzo	f	old chimps	5	17/10/2018	5	1	1	1	1		
Mwanzo	f	old chimps	5	17/10/2018	5	1	2	0			
Mwanzo	f	old chimps	5	17/10/2018	5	1	3	1	1		
Mwanzo	f	old chimps	5	17/10/2018	5	1	4	0			
Mwanzo	f	old chimps	5	17/10/2018	5	1	5	0			
Mwanzo	f	old chimps	5	17/10/2018	5	1	6	0			
Mwanzo	f	old chimps	14	18/10/2018	5	2	1	0			
Mwanzo	f	old chimps	14	18/10/2018	5	2	2	1	1		
Mwanzo	f	old chimps	14	18/10/2018	5	2	3	1	0		
Mwanzo	f	old chimps	14	18/10/2018	5	2	4	1	1		
Mwanzo	f	old chimps	14	18/10/2018	5	2	5	1	0		
Mwanzo	f	old chimps	14	18/10/2018	5	2	6	0			
Mary	f	old chimps	5	17/10/2018	5	1	1	0			
Mary	f	old chimps	5	17/10/2018	5	1	2	0			
Mary	f	old chimps	5	17/10/2018	5	1	3	0			
Mary	f	old chimps	5	17/10/2018	5	1	4	0			
Mary	f	old chimps	5	17/10/2018	5	1	5	0			
Mary	f	old chimps	5	17/10/2018	5	1	6	0			
Mary	f	old chimps	14	18/10/2018	5	2	1	0			
Mary	f	old chimps	14	18/10/2018	5	2	2	0			
Mary	f	old chimps	14	18/10/2018	5	2	3	0			
Mary	f	old chimps	14	18/10/2018	5	2	4	0			
Mary	f	old chimps	14	18/10/2018	5	2	5	0			
Mary	f	old chimps	14	18/10/2018	5	2	6	1	1		
Julia	f	old chimps	5	17/10/2018	5	1	1	0			
Julia	f	old chimps	5	17/10/2018	5	1	2	0			
Julia	f	old chimps	5	17/10/2018	5	1	3	1	1		
Julia	f	old chimps	5	17/10/2018	5	1	4	1	1		
Julia	f	old chimps	5	17/10/2018	5	1	5	0			
Julia	f	old chimps	5	17/10/2018	5	1	6	1	1		
Julia	f	old chimps	14	18/10/2018	5	2	1	0			
Julia	f	old chimps	14	18/10/2018	5	2	2	0			
Julia	f	old chimps	14	18/10/2018	5	2	3	0			
Julia	f	old chimps	14	18/10/2018	5	2	4	1	1		
Julia	f	old chimps	14	18/10/2018	5	2	5	0			
Julia	f	old chimps	14	18/10/2018	5	2	6	0			
Cheetah	f	old chimps	5	17/10/2018	5	1	1	0			
Cheetah	f	old chimps	5	17/10/2018	5	1	2	0			
Cheetah	f	old chimps	5	17/10/2018	5	1	3	0			
Cheetah	f	old chimps	5	17/10/2018	5	1	4	1	1		
Cheetah	f	old chimps	5	17/10/2018	5	1	5	0			
Cheetah	f	old chimps	5	17/10/2018	5	1	6	1	1		
Cheetah	f	old chimps	14	18/10/2018	5	2	1	0			
Cheetah	f	old chimps	14	18/10/2018	5	2	2	0			
Cheetah	f	old chimps	14	18/10/2018	5	2	3	1	1		
Cheetah	f	old chimps	14	18/10/2018	5	2	4	0			
Cheetah	f	old chimps	14	18/10/2018	5	2	5	0			
Cheetah	f	old chimps	14	18/10/2018	5	2	6	1	1		
Kisa	m	young chimps	25	10/11/2018	5	1	1	0			
Kisa	m	young chimps	25	10/11/2018	5	1	2	0			
Kisa	m	young chimps	25	10/11/2018	5	1	3	0			
Kisa	m	young chimps	25	10/11/2018	5	1	4	0			
Kisa	m	young chimps	25	10/11/2018	5	1	5	1			
Kisa	m	young chimps	25	10/11/2018	5	1	6	1			
Kisa	m	young chimps	25	12/11/2018	5	2	1	0			
Kisa	m	young chimps	25	12/11/2018	5	2	2	1	1		
Kisa	m	young chimps	25	12/11/2018	5	2	3	0			
Kisa	m	young chimps	25	12/11/2018	5	2	4	0			stopped interacting for 1min
Kisa	m	young chimps	25	12/11/2018	5	2	5				
Kisa	m	young chimps	25	12/11/2018	5	2	6				
Niyonkuru	m	young chimps	28	10/11/2018	5	1	1	0			
Niyonkuru	m	young chimps	28	10/11/2018	5	1	2	0			
Niyonkuru	m	young chimps	28	10/11/2018	5	1	3	0			
Niyonkuru	m	young chimps	28	10/11/2018	5	1	4	0			
Niyonkuru	m	young chimps	28	10/11/2018	5	1	5	1	0		
Niyonkuru	m	young chimps	28	10/11/2018	5	1	6	1	0		
Niyonkuru	m	young chimps	28	12/11/2018	5	2	1	0			
Niyonkuru	m	young chimps	28	12/11/2018	5	2	2	0			
Niyonkuru	m	young chimps	28	12/11/2018	5	2	3	1	1		
Niyonkuru	m	young chimps	28	12/11/2018	5	2	4	0			
Niyonkuru	m	young chimps	28	12/11/2018	5	2	5	0			
Niyonkuru	m	young chimps	28	12/11/2018	5	2	6	0			
Joy	f	young chimps	14	10/11/2018	5	1	1	0			
Joy	f	young chimps	14	10/11/2018	5	1	2	0			
Joy	f	young chimps	14	10/11/2018	5	1	3	0			
Joy	f	young chimps	14	10/11/2018	5	1	4	1	1		
Joy	f	young chimps	14	10/11/2018	5	1	5	1	1		
Joy	f	young chimps	14	10/11/2018	5	1	6	0			
Joy	f	young chimps	14	12/11/2018	5	2	1	0			
Joy	f	young chimps	14	12/11/2018	5	2	2	0			
Joy	f	young chimps	14	12/11/2018	5	2	3	0			
Joy	f	young chimps	14	12/11/2018	5	2	4	1	1		
Joy	f	young chimps	14	12/11/2018	5	2	5	0			
Joy	f	young chimps	14	12/11/2018	5	2	6	1	1		
Akela	f	young chimps	30	10/11/2018	5	1	1	0			
Akela	f	young chimps	30	10/11/2018	5	1	2	1	1		
Akela	f	young chimps	30	10/11/2018	5	1	3	0			
Akela	f	young chimps	30	10/11/2018	5	1	4	0			
Akela	f	young chimps	30	10/11/2018	5	1	5	0			
Akela	f	young chimps	30	10/11/2018	5	1	6	0			
Akela	f	young chimps	30	14/11/2018	5	2	1	0			
Akela	f	young chimps	30	14/11/2018	5	2	2	1	1		
Akela	f	young chimps	30	14/11/2018	5	2	3	1	1		
Akela	f	young chimps	30	14/11/2018	5	2	4	0			
Akela	f	young chimps	30	14/11/2018	5	2	5	1	1		
Akela	f	young chimps	30	14/11/2018	5	2	6	1	1		
Dufatanya	f	young chimps	27	10/11/2018	5	1	1	0			
Dufatanya	f	young chimps	27	10/11/2018	5	1	2	1	1		
Dufatanya	f	young chimps	27	10/11/2018	5	1	3	1	0		
Dufatanya	f	young chimps	27	10/11/2018	5	1	4	0			
Dufatanya	f	young chimps	27	10/11/2018	5	1	5	0			
Dufatanya	f	young chimps	27	10/11/2018	5	1	6	0			
Dufatanya	f	young chimps	27	12/11/2018	5	2	1	0			
Dufatanya	f	young chimps	27	12/11/2018	5	2	2	0			
Dufatanya	f	young chimps	27	12/11/2018	5	2	3	1	1		
Dufatanya	f	young chimps	27	12/11/2018	5	2	4	0			
Dufatanya	f	young chimps	27	12/11/2018	5	2	5	0			
Dufatanya	f	young chimps	27	12/11/2018	5	2	6	1	1		
Bahati	f	young chimps	25	10/11/2018	5	1	1	0			
Bahati	f	young chimps	25	10/11/2018	5	1	2	0			
Bahati	f	young chimps	25	10/11/2018	5	1	3	0			
Bahati	f	young chimps	25	10/11/2018	5	1	4	1	1		
Bahati	f	young chimps	25	10/11/2018	5	1	5	0			
Bahati	f	young chimps	25	10/11/2018	5	1	6	1	1		
Bahati	f	young chimps	25	12/11/2018	5	2	1	0			
Bahati	f	young chimps	25	12/11/2018	5	2	2	1	1		
Bahati	f	young chimps	25	12/11/2018	5	2	3	1	1		
Bahati	f	young chimps	25	12/11/2018	5	2	4	1	1		
Bahati	f	young chimps	25	12/11/2018	5	2	5	1	1		
Bahati	f	young chimps	25	12/11/2018	5	2	6	0			
