Subject	Sex	Species	Age	Date	Day	Session	trial_number	Condition	P1_baited	P2_baited	Choice_P1	Correct_P1	Choice_P2	Correct_P2	count_mistakes	Comment
Alikaka	m	old chimps	16	14/10/2018		1	7	test	3	4	3	1	4	1	0	
Alikaka	m	old chimps	16	14/10/2018		1	8	test	2	3	4	0	1	0	2	1 on platform 2 had apple
Kisa	m	young chimps	25	12/11/2018		1	1	warm-up	2		4	0				
Kisa	m	young chimps	25	12/11/2018		1	2	warm-up	4		4	1				
Kisa	m	young chimps	25	12/11/2018		1	1	test	3	2	3	1	4	0	1	
Kisa	m	young chimps	25	12/11/2018		1	2	test	4	3	3	0	2	0	2	
Kisa	m	young chimps	25	12/11/2018		1	3	test	1	4	1	1	3	0	1	
Kisa	m	young chimps	25	12/11/2018		1	4	test	2	1	2	1	2	0	1	
Kisa	m	young chimps	25	12/11/2018		1	5	test	4	2	2	0	2	1	1	
Kisa	m	young chimps	25	12/11/2018		1	6	test	1	1	3	0	3	0	2	
Kisa	m	young chimps	25	12/11/2018		1	7	test	3	4	3	1	3	0	1	
Kisa	m	young chimps	25	12/11/2018		1	8	test	2	3	2	1	1	0	1	
Niyonkuru	m	young chimps	28	12/11/2018		1	1	warm-up	2		3	0				
Niyonkuru	m	young chimps	28	12/11/2018		1	2	warm-up	4		4	1				
Niyonkuru	m	young chimps	28	12/11/2018		1	1	test	3	2	4	0	2	1	1	
Niyonkuru	m	young chimps	28	12/11/2018		1	2	test	4	3	4	1	2	0	1	
Niyonkuru	m	young chimps	28	12/11/2018		1	3	test	1	4	1	1	2	0	1	
Niyonkuru	m	young chimps	28	12/11/2018		1	4	test	2	1	1	0	3	0	2	
Niyonkuru	m	young chimps	28	12/11/2018		1	5	test	4	2	2	0	2	1	1	
Niyonkuru	m	young chimps	28	12/11/2018		1	6	test	1	1	1	1	1	1	0	
Niyonkuru	m	young chimps	28	12/11/2018		1	7	test	3	4	1	0	2	0	2	
Niyonkuru	m	young chimps	28	12/11/2018		1	8	test	2	3	2	1	2	0	1	
Joy	f	young chimps	14	12/11/2018		0	1	warm-up	2		2	1				
Joy	f	young chimps	14	12/11/2018		0	2	warm-up	4		4	1				
Joy	f	young chimps	14	12/11/2018		1	1	test	3	2	4	0	2	1	1	grabbed box 3 on platform 1 just after choice
Joy	f	young chimps	14	12/11/2018		1	2	test	4	3	4	1	3	1	0	
Joy	f	young chimps	14	12/11/2018		1	3	test	1	4	4	0	4	1	1	
Joy	f	young chimps	14	12/11/2018		1	4	test	2	1	3	0	3	0	2	
Joy	f	young chimps	14	12/11/2018		1	5	test	4	2	4	1	2	1	0	
Joy	f	young chimps	14	12/11/2018		1	6	test	1	1	4	0	2	0	2	
Joy	f	young chimps	14	12/11/2018		1	7	test	3	4	3	1	2	0	1	
Joy	f	young chimps	14	12/11/2018		1	8	test	2	3	4	0	4	0	2	
Bahati	f	young chimps	25	12/11/2018		1	1	warm-up	2		2	1				
Bahati	f	young chimps	25	12/11/2018		1	2	warm-up	4		2	0				
Bahati	f	young chimps	25	12/11/2018		1	1	test	3	2	2	0	2	1	1	
Bahati	f	young chimps	25	12/11/2018		1	2	test	4	3	1	0	2	0	2	"falslely there was still an apple in the box she chose on platform 1, so she got rewarded for the wrong choice"
Bahati	f	young chimps	25	12/11/2018		1	3	test	1	4	1	1	3	0	1	
Bahati	f	young chimps	25	12/11/2018		1	4	test	2	1	2	1	2	0	1	
Bahati	f	young chimps	25	12/11/2018		1	5	test	4	2	1	0	3	0	2	
Bahati	f	young chimps	25	12/11/2018		1	6	test	1	1	1	1	2	0	1	
Bahati	f	young chimps	25	12/11/2018		1	7	test	3	4	1	0	2	0	2	
Bahati	f	young chimps	25	12/11/2018		1	8	test	2	3	2	1	2	0	1	
Dufatanya	f	young chimps	27	12/11/2018		1	1	warm-up	2		2	1				
Dufatanya	f	young chimps	27	12/11/2018		1	2	warm-up	4		1	0				
Dufatanya	f	young chimps	27	12/11/2018		1	1	test	3	2	3	1	1	0	1	
Dufatanya	f	young chimps	27	12/11/2018		1	2	test	4	3	2	0	1	0	2	
Dufatanya	f	young chimps	27	12/11/2018		1	3	test	1	4	2	0	2	0	2	
Dufatanya	f	young chimps	27	12/11/2018		1	4	test	2	1	2	1	3	0	1	
Dufatanya	f	young chimps	27	12/11/2018		1	5	test	4	2	1	0	1	0	2	
Dufatanya	f	young chimps	27	12/11/2018		1	6	test	1	1	2	0	1	1	1	
Dufatanya	f	young chimps	27	12/11/2018		1	7	test	3	4	2	0	2	0	2	
Dufatanya	f	young chimps	27	12/11/2018		1	8	test	2	3	2	1	1	0	1	
Akela	f	young chimps	30	14/11/2018		1	1	warm-up	2		4	0				
Akela	f	young chimps	30	14/11/2018		1	2	warm-up	4		4	1				
Akela	f	young chimps	30	14/11/2018		1	1	test	3	2	4	0	4	0	2	
Akela	f	young chimps	30	14/11/2018		1	2	test	4	3	4	1	2	0	1	
Akela	f	young chimps	30	14/11/2018		1	3	test	1	4	4	0	2	0	2	
Akela	f	young chimps	30	14/11/2018		1	4	test	2	1	4	0	3	0	2	
Akela	f	young chimps	30	14/11/2018		1	5	test	4	2	4	1	3	0	1	
Akela	f	young chimps	30	14/11/2018		1	6	test	1	1	4	0	2	0	2	
Akela	f	young chimps	30	14/11/2018		1	7	test	3	4	4	0	4	1	1	
Akela	f	young chimps	30	14/11/2018		1	8	test	2	3	2	1	2	0	1	
