Subject	Sex	Group	Age	Date	Day	Condition	Number_boxes	Trial_number	trial_correct	number_redundant_searched	1st_choice	2nd_choice	second_choice_correct	third_choice	third_choice_correct	fourth_choice	fourth_choice_correct	fifth_choice	fifth_choice_correct	sixth_choice	sixth_choice_correct	seventh_choice	seventh_choice_correct	eigth_choice	eighth_choice_correct	ninth_choice	ninth_choice_correct	tenth_choice	tenth_choice_correct	comment
Bahati	f	young chimps	25	06/11/2018	1	one_platform:feature+space	4	1	0	4	3	2	1	3	0	2	0	4	1	4	0	2	0	5	1					
Bahati	f	young chimps	25	06/11/2018	1	one_platform:feature+space	4	2	0	1	3	3	0	4	1	2	1	5	1											
Bahati	f	young chimps	25	06/11/2018	1	one_platform:feature+space	4	3	0	1	2	3	1	4	1	4	0	5	1											
Bahati	f	young chimps	25	06/11/2018	1	one_platform:feature+space	5	1	0	4	3	2	1	1	1	2	0	4	1	4	0	1	0	3	0	5	1			
Bahati	f	young chimps	25	06/11/2018	1	one_platform:feature+space	5	2	1	0	5	3	1	1	1	2	1	4	1											
Bahati	f	young chimps	25	06/11/2018	1	one_platform:feature+space	5	3	0	1	2	1	1	2	0	3	1	5	1	4	1									
Joy	f	young chimps	14	06/11/2018	1	one_platform:feature+space	4	1	0	3	5	3	1	3	0	3	0	2	1	5	0	4	1							
Joy	f	young chimps	14	06/11/2018	1	one_platform:feature+space	4	2	0	5	3	4	1	3	0	4	0	4	0	2	1	2	0	4	0					
Joy	f	young chimps	14	06/11/2018	1	one_platform:feature+space	4	3	0	3	3	4	1	4	0	2	1	2	0	3	0	5	1							
Joy	f	young chimps	14	06/11/2018	1	one_platform:feature+space	5	1	0	2	3	5	1	4	1	3	0	2	1	2	0	1	1							
Joy	f	young chimps	14	06/11/2018	1	one_platform:feature+space	5	2	0	5	2	4	1	1	1	2	0	1	0	4	0	4	0	3	1	1	0			
Joy	f	young chimps	14	06/11/2018	1	one_platform:feature+space	5	3	0	5	1	4	1	3	1	1	0	4	0	4	0	5	1	4	0	5	0			
Safari	m	old chimps	34	09/11/2008	1	one_platform:feature+space	4	1	0	5	5	2	1	4	1	2	0	5	0	4	0	2	0	5	0					
Safari	m	old chimps	34	09/11/2008	1	one_platform:feature+space	4	2	0	1	5	4	1	4	0	3	1	2	1											
Safari	m	old chimps	34	09/11/2008	1	one_platform:feature+space	4	3	0	3	5	4	1	2	1	4	0	2	0	2	0									did not approach platform after 6th choice
Safari	m	old chimps	34	10/11/2008	1	one_platform:feature+space	5	1	0	2	4	2	1	1	1	5	1	1	0	2	0	3	1							
Safari	m	old chimps	34	10/11/2008	1	one_platform:feature+space	5	2	0	2	5	3	1	5	0	4	1	3	0	2	1	1	1							
Safari	m	old chimps	34	10/11/2008	1	one_platform:feature+space	5	3	0	3	3	3	0	5	1	1	1	3	0	2	1	3	0	4	1					
Oscar	m	old chimps	21	09/11/2008	1	one_platform:feature+space	4	1	0	3	2	3	1	4	1	4	0	3	0	4	0	5	1							"one trial repeated, not finished"
Oscar	m	old chimps	21	09/11/2008	1	one_platform:feature+space	4	2	0	3	4	4	0	4	0	2	1	5	1	4	0	3	1							
Oscar	m	old chimps	21	09/11/2008	1	one_platform:feature+space	4	3	0	5	4	5	1	4	0	3	1	4	0	5	0	5	0	3	0					
Oscar	m	old chimps	21	09/11/2008	1	one_platform:feature+space	5	1	0	4	5	4	1	4	0	3	1	3	0	3	0	3	0	1	1	2	1			
Oscar	m	old chimps	21	09/11/2008	1	one_platform:feature+space	5	2	0	5	5	4	1	4	0	3	1	4	0	5	0	3	0	1	1	5	0			
Oscar	m	old chimps	21	09/11/2008	1	one_platform:feature+space	5	3	0	4	5	5	0	1	1	3	1	4	1	4	0	3	0	5	0	2	1			
Judy	f	old chimps	35	09/11/2008	1	one_platform:feature+space	4	1	0	3	5	5	0	2	1	2	0	3	1	5	0	4	1							
Judy	f	old chimps	35	09/11/2008	1	one_platform:feature+space	4	2	0	1	5	4	1	3	1	3	0	2	1											
Judy	f	old chimps	35	09/11/2008	1	one_platform:feature+space	4	3	0	1	5	4	1	3	1	3	0	2	1											
Judy	f	old chimps	35	09/11/2008	1	one_platform:feature+space	5	1			3	5	1	1	1	2	1													"no response for 1 min, trial repeated"
Judy	f	old chimps	35	09/11/2008	1	one_platform:feature+space	5	2	0	2	5	4	1	4	0	3	1	3	0	2	1	1	1							
Judy	f	old chimps	35	09/11/2008	1	one_platform:feature+space	5	3	0	3	5	4	1	4	0	3	1	2	1	3	0	2	0	1	1					
Alley	f	old chimps	31	09/11/2008	1	one_platform:feature+space	4	1	0	2	4	4	0	2	1	3	1	2	0	5	1									
Alley	f	old chimps	31	09/11/2008	1	one_platform:feature+space	4	2	1	0	4	3	1	2	1	5	1													
Alley	f	old chimps	31	09/11/2008	1	one_platform:feature+space	4	3	0	1	3	2	1	4	1	4	0	5	1											
Alley	f	old chimps	31	09/11/2008	1	one_platform:feature+space	5	1	0	2	1	5	1	3	1	5	0	1	0	2	1	4	1							
Alley	f	old chimps	31	09/11/2008	1	one_platform:feature+space	5	2	0	5	3	1	1	4	1	4	0	4	0	3	0	4	0	2	1	2	0			
Alley	f	old chimps	31	10/11/2008	1	one_platform:feature+space	5	3	1	0	2	1	1	4	1	5	1	3	1											
George	m	old chimps	15	09/11/2008	1	one_platform:feature+space	4	1	1	0	2	4	1	5	1	3	1													
George	m	old chimps	15	09/11/2008	1	one_platform:feature+space	4	2	0		4	5	1	5	0	4	0	3	1											"did not approach within 1 min, trial stopped. Also tried peanuts, without change. Session stopped"
George	m	old chimps	15	09/11/2008	1	one_platform:feature+space	4	3			5																			
George	m	old chimps	15	10/11/2008	1	one_platform:feature+space	5	1	0	5	3	3	0	3	0	4	1	1	1	5	1	1	0	5	0	5	0			
George	m	old chimps	15	10/11/2008	1	one_platform:feature+space	5	2	0		5	4	1	2	1	2	0	1	1	1	0									"did not approach platform within 1 min after last choice, trial terminated"
George	m	old chimps	15	10/11/2008	1	one_platform:feature+space	5	3	0		2	2	0																	"did not approach platform within 1 min after last choice, trial terminated"
Ajabu	f	old chimps	10	09/11/2008	1	one_platform:feature+space	4	1	0	2	5	3	1	4	1	3	0	4	0	2	1									
Ajabu	f	old chimps	10	09/11/2008	1	one_platform:feature+space	4	2	0	5	4	4	0	3	1	4	0	2	1	4	0	2	0	4	0					
Ajabu	f	old chimps	10	09/11/2008	1	one_platform:feature+space	4	3			4	3	1	3	0	4	0	4	0	4	0	2	1							"E error, trial stopped too early"
Ajabu	f	old chimps	10	09/11/2008	1	one_platform:feature+space	5	1	0	4	3	3	0	3	0	5	1	5	0	2	1	2	0	1	1	4	1			
Ajabu	f	old chimps	10	09/11/2008	1	one_platform:feature+space	5	2	1	0	3	4	1	1	1	2	1	5	1											
Ajabu	f	old chimps	10	09/11/2008	1	one_platform:feature+space	5	3	0	5	4	4	0	5	1	4	0	5	0	2	1	1	1	5	0	2	0			
Saidia	f	old chimps	15	09/11/2008	1	one_platform:feature+space	4	1	0	5	2	4	1	3	1	2	0	4	0	4	0	4	0	2	0					
Saidia	f	old chimps	15	09/11/2008	1	one_platform:feature+space	4	2	0		3	3	0	2	1															"stopped participating after third choice, did not approach platform in 5 min"
Saidia	f	old chimps	15	10/11/2008	1	one_platform:feature+space	4	3	0	5	2	3	1	4	1	3	0	4	0	4	0	3	0	3	0					
Saidia	f	old chimps	15	10/11/2008	1	one_platform:feature+space	5	1	0		4	3	1	2	1	3	0	3	0	3	0									"did not approach platform within 1 min, trial stopped"
Saidia	f	old chimps	15	10/11/2008	1	one_platform:feature+space	5	2			3																			"did not approach platform within 1 min, trial stopped"
Saidia	f	old chimps	15	10/11/2008	1	one_platform:feature+space	5	3																						"did not approach platform within 1 min, trial stopped"
Angela	f	old chimps	7	10/11/2008	1	one_platform:feature+space	4	1	0	5	4	2	1	2	0	2	0	2	0	3	1	3	0	3	0					"did not approach platform after her second choice within 5 min, session stopped"
Angela	f	old chimps	7	10/11/2008	1	one_platform:feature+space	4	2	0	5	3	3	0	3	0	2	1	2	0	2	0	3	0							
Angela	f	old chimps	7	10/11/2008	1	one_platform:feature+space	4	3	0	5	2	2	0	4	1	2	0	4	0	3	1	3	0	4	0					
Angela	f	old chimps	7	10/11/2008	1	one_platform:feature+space	5	1	0	5	2	2	0	2	0	3	1	2	0	2	0	1	1	5	1	5	0			
Angela	f	old chimps	7	10/11/2008	1	one_platform:feature+space	5	2	0	5	5	4	1	3	1	3	0	3	0	3	0	4	0	5	0					
Angela	f	old chimps	7	10/11/2008	1	one_platform:feature+space	5	3	0	5	4	2	1	2	0	4	0	3	1	2	0	2	0	1	1	2	0			
