trial.id	Subject	Sex	Species	Age	Date	Session	Trial	condition	side	first_move_LR	first_move_correct	Change_latency_code	Change_latency_value	Change_position_code	Change_position_value	StartPos_latency_code	StartPos_latency_value	food_retrieved_code	food_retrieved_latency	comment	side_change	firsttest_trial_number	Trial_test
110	Manno	m	young chimps	5	24/10/2018	2	50	training	r	r	c							et	529		yes	0	
111	Manno	m	young chimps	5	24/10/2018	2	51	test	r	r	c	ct	1304	cp	22	st	1670				no	0	10
112	Manno	m	young chimps	5	24/10/2018	2	52	training	l	l	c							et	867		yes	0	
113	Manno	m	young chimps	5	24/10/2018	2	53	training	r	r	c							et	958		yes	0	
114	Manno	m	young chimps	5	24/10/2018	2	54	training	l	l	c							et	827		yes	0	
115	Manno	m	young chimps	5	24/10/2018	2	55	training	l	l	c							et	776		no	0	
116	Manno	m	young chimps	5	24/10/2018	2	56	training	r	l	i							et	5467		yes	0	
117	Manno	m	young chimps	5	24/10/2018	2	57	test	r	r	c	ct	3709	cp	20	st	4074				no	0	11
118	Manno	m	young chimps	5	24/10/2018	2	58	training	l	l	c							et	680		yes	0	
119	Manno	m	young chimps	5	24/10/2018	2	59	training	r	r	c							et	870		yes	0	
120	Manno	m	young chimps	5	24/10/2018	2	60	test	l	l	c	ct	1453	cp	11	st	1839				yes	0	12
121	Amizero	f	young chimps	29	23/10/2018	1	1	training	r	r	c							et	3925			0	
122	Amizero	f	young chimps	29	23/10/2018	1	2	training	l	r	i							et	-18442		yes	0	
123	Amizero	f	young chimps	29	23/10/2018	1	3	training	r	l	i							et	-13580		yes	0	
124	Amizero	f	young chimps	29	23/10/2018	1	4	training	r	l	i							et	6932		no	0	
125	Amizero	f	young chimps	29	23/10/2018	1	5	training	l	r	i							et	5029		yes	0	
126	Amizero	f	young chimps	29	23/10/2018	1	6	training	l	l	c							et	703		no	0	
127	Amizero	f	young chimps	29	23/10/2018	1	7	training	r	l	i							et	30854		yes	0	
128	Amizero	f	young chimps	29	23/10/2018	1	8	training	l	r	i										yes	0	
129	Amizero	f	young chimps	29	23/10/2018	1	9	training	r	l	i							et	14098		yes	0	
130	Amizero	f	young chimps	29	23/10/2018	1	10	training	l	r	i										yes	0	
131	Amizero	f	young chimps	29	23/10/2018	1	11	test	r	l	i	ct	9777	cp	22	st	21968				yes	1	1
132	Amizero	f	young chimps	29	23/10/2018	1	12	training	l	l	c							et	689		yes	0	
133	Amizero	f	young chimps	29	23/10/2018	1	13	training	l	l	c							et	4576		no	0	
134	Amizero	f	young chimps	29	23/10/2018	1	14	training	r	l	i							et	24282		yes	0	
135	Amizero	f	young chimps	29	23/10/2018	1	15	training	r	r	c							et	4138		no	0	
136	Amizero	f	young chimps	29	23/10/2018	1	16	test	l	r	i	ct	9976	cp	14	st	11678				yes	0	2
137	Amizero	f	young chimps	29	23/10/2018	1	17	training	r	r	c							et	506		yes	0	
138	Amizero	f	young chimps	29	23/10/2018	1	18	training	l	r	i							et	9411		yes	0	
139	Amizero	f	young chimps	29	23/10/2018	1	19	training	l	l	c							et	596		no	0	
140	Amizero	f	young chimps	29	23/10/2018	1	20	test	r	l	i	ct	3710	cp	22	st	15744				yes	0	3
141	Amizero	f	young chimps	29	23/10/2018	1	21	training	l	l	c							et	511		yes	0	
142	Amizero	f	young chimps	29	23/10/2018	1	22	training	r	l	i							et	1923		yes	0	
143	Amizero	f	young chimps	29	23/10/2018	1	23	training	l	l	c							et	1767		yes	0	
144	Amizero	f	young chimps	29	23/10/2018	1	24	test	r	r	c	ct	1554	cp	0	st	1555				yes	0	4
145	Amizero	f	young chimps	29	23/10/2018	1	25	training	r	l	i							et	5832		no	0	
146	Amizero	f	young chimps	29	23/10/2018	1	26	training	r	r	c							et	464		no	0	
147	Amizero	f	young chimps	29	23/10/2018	1	27	training	r	r	c							et	521		no	0	
148	Amizero	f	young chimps	29	23/10/2018	1	28	training	l	r	i							et	2482		yes	0	
149	Amizero	f	young chimps	29	23/10/2018	1	29	test	l	l	c	ct	3209	cp	21	st	3612				no	0	5
150	Amizero	f	young chimps	29	23/10/2018	1	30	training	l	l	c							et	490		no	0	
151	Amizero	f	young chimps	29	24/10/2018	2	31	training	l	l	c							et	8776			0	
152	Amizero	f	young chimps	29	24/10/2018	2	32	training	r	l	i							et	11404		yes	0	
153	Amizero	f	young chimps	29	24/10/2018	2	33	training	r	r	c							et	2288		no	0	
154	Amizero	f	young chimps	29	24/10/2018	2	34	training	l	r	i							et	5773		yes	0	
155	Amizero	f	young chimps	29	24/10/2018	2	35	training	l	l	c							et	724		no	0	
156	Amizero	f	young chimps	29	24/10/2018	2	36	training	r	l	i							et	4177		yes	0	
157	Amizero	f	young chimps	29	24/10/2018	2	37	training	l	l	c							et	595		yes	0	
158	Amizero	f	young chimps	29	24/10/2018	2	38	training	r	l	i							et	3072		yes	0	
159	Amizero	f	young chimps	29	24/10/2018	2	39	test	l	l	c	ct	4662	cp	7	st	4731				yes	0	6
160	Amizero	f	young chimps	29	24/10/2018	2	40	training	r	r	c							et	670		yes	0	
161	Amizero	f	young chimps	29	24/10/2018	2	41	test	r	r	c	ct	7770	cp	16	st	8053				no	0	7
162	Amizero	f	young chimps	29	24/10/2018	2	42	training	l	l	c							et	495		yes	0	
163	Amizero	f	young chimps	29	24/10/2018	2	43	training	l	l	c							et	598		no	0	
164	Amizero	f	young chimps	29	24/10/2018	2	44	training	r	l	i							et	3349		yes	0	
165	Amizero	f	young chimps	29	24/10/2018	2	45	training	r	r	c							et	615		no	0	
166	Amizero	f	young chimps	29	24/10/2018	2	46	training	r	r	c							et	421		no	0	
167	Amizero	f	young chimps	29	24/10/2018	2	47	test	l	l	c	ct	5716	cp	21	st	12028				yes	0	8
168	Amizero	f	young chimps	29	24/10/2018	2	48	training	l	l	c							et	622		no	0	
169	Amizero	f	young chimps	29	24/10/2018	2	49	training	l	l	c							et	319		no	0	
170	Amizero	f	young chimps	29	24/10/2018	2	50	training	r	r	c							et	608		yes	0	
171	Amizero	f	young chimps	29	24/10/2018	2	51	test	r	r	c	ct	9225	cp	18	st	9657				no	0	9
172	Amizero	f	young chimps	29	24/10/2018	2	52	training	l	l	c							et	507		yes	0	
173	Amizero	f	young chimps	29	24/10/2018	2	53	training	r	l	i							et	2949		yes	0	
174	Amizero	f	young chimps	29	24/10/2018	2	54	training	l	l	c							et	421		yes	0	
175	Amizero	f	young chimps	29	24/10/2018	2	55	training	l	l	c							et	3483		no	0	
176	Amizero	f	young chimps	29	24/10/2018	2	56	test	r	r	c	ct	2506	cp	2	st	2535				yes	0	10
177	Amizero	f	young chimps	29	24/10/2018	2	57	training	r	r	c							et	917		no	0	
178	Amizero	f	young chimps	29	24/10/2018	2	58	training	l	l	c							et	5232		yes	0	
179	Amizero	f	young chimps	29	24/10/2018	2	59	training	r	l	i							et	2956		yes	0	
180	Amizero	f	young chimps	29	24/10/2018	2	60	test	l	l	c	ct	2907	cp	21	st	3328				yes	0	11
181	Jane	f	young chimps	14	23/10/2018	1	1	training	r	r	c							et	23746			0	
182	Jane	f	young chimps	14	23/10/2018	1	2	training	l	r	i							et	4926		yes	0	
183	Jane	f	young chimps	14	23/10/2018	1	3	training	r	r	c							et	1284		yes	0	
184	Jane	f	young chimps	14	23/10/2018	1	4	training	r	r	c							et	630		no	0	
185	Jane	f	young chimps	14	23/10/2018	1	5	training	l	r	i							et	7335		yes	0	
186	Jane	f	young chimps	14	23/10/2018	1	6	training	l	r	i							et	1761		no	0	
187	Jane	f	young chimps	14	23/10/2018	1	7	training	r	r	c							et	1100		yes	0	
188	Jane	f	young chimps	14	23/10/2018	1	8	training	l	l	c							et	450		yes	0	
189	Jane	f	young chimps	14	23/10/2018	1	9	training	r	l	i							et	6584		yes	0	
190	Jane	f	young chimps	14	23/10/2018	1	10	training	l	l	c							et	986		yes	0	
191	Jane	f	young chimps	14	23/10/2018	1	11	test	r	l	i	ct	5666	cp	22	st	27162				yes	1	1
192	Jane	f	young chimps	14	23/10/2018	1	12	training	l	l	c							et	673		yes	0	
193	Jane	f	young chimps	14	23/10/2018	1	13	test	l	l	c	ct	3007	cp	21	st	5513				no	0	2
194	Jane	f	young chimps	14	23/10/2018	1	14	training	r	l	i							et	3324		yes	0	
195	Jane	f	young chimps	14	23/10/2018	1	15	training	r	r	c							et	686		no	0	
196	Jane	f	young chimps	14	23/10/2018	1	16	test	l	r	i	ct	1153	cp	21	st	1658				yes	0	3
197	Jane	f	young chimps	14	23/10/2018	1	17	training	r	r	c							et	1894		yes	0	
198	Jane	f	young chimps	14	23/10/2018	1	18	training	l	r	i							et	-30121		yes	0	
199	Jane	f	young chimps	14	23/10/2018	1	19	training	l	l	c							et	5432		no	0	
200	Jane	f	young chimps	14	23/10/2018	1	20	test	r	l	i	ct	2306	cp	6	st	13362				yes	0	4
201	Jane	f	young chimps	14	23/10/2018	1	21	training	l	l	c							et	423		yes	0	
202	Jane	f	young chimps	14	23/10/2018	1	22	training	r	r	c							et	2695		yes	0	
203	Jane	f	young chimps	14	23/10/2018	1	23	training	l	l	c							et	478		yes	0	
204	Jane	f	young chimps	14	23/10/2018	1	24	test	r	l	i	ct	1304	cp	22	st	1583				yes	0	5
205	Jane	f	young chimps	14	23/10/2018	1	25	training	r	l	i							et	2626		no	0	
206	Jane	f	young chimps	14	23/10/2018	1	26	training	r	r	c							et	528		no	0	
207	Jane	f	young chimps	14	23/10/2018	1	27	training	r	r	c							et	944		no	0	
208	Jane	f	young chimps	14	23/10/2018	1	28	training	l	r	i							et	13969		yes	0	
209	Jane	f	young chimps	14	23/10/2018	1	29	test	l	l	c	ct	1655	cp	21	st	1918				no	0	6
210	Jane	f	young chimps	14	23/10/2018	1	30	training	l	r	i									removed food on incorrect side by lifting the stop box	no	0	
211	Jane	f	young chimps	14	24/10/2018	2	31	training	l	l	c							et	917			0	
212	Jane	f	young chimps	14	24/10/2018	2	32	training	r	l	i							et	6688		yes	0	
213	Jane	f	young chimps	14	24/10/2018	2	33	training	r	r	c							et	322		no	0	
214	Jane	f	young chimps	14	24/10/2018	2	34	training	l	l	c							et	328		yes	0	
215	Jane	f	young chimps	14	24/10/2018	2	35	training	l	l	c							et	621		no	0	
216	Jane	f	young chimps	14	24/10/2018	2	36	training	r	l	i									no end time	yes	0	
217	Jane	f	young chimps	14	24/10/2018	2	37	training	l	l	c							et	744		yes	0	
218	Jane	f	young chimps	14	24/10/2018	2	38	training	r	l	i							et	2289		yes	0	
219	Jane	f	young chimps	14	24/10/2018	2	39	test	l	l	c	ct	1553	cp	21	st	1803				yes	0	7
220	Jane	f	young chimps	14	24/10/2018	2	40	training	r	r	c							et	1295		yes	0	
221	Jane	f	young chimps	14	24/10/2018	2	41	test	r	r	c	ct	3459	cp	22	st	3683				no	0	8
222	Jane	f	young chimps	14	24/10/2018	2	42	training	l	l	c							et	338		yes	0	
223	Jane	f	young chimps	14	24/10/2018	2	43	training	l	r	i							et	3187		no	0	
224	Jane	f	young chimps	14	24/10/2018	2	44	training	r	l	i							et	2886		yes	0	
225	Jane	f	young chimps	14	24/10/2018	2	45	training	r	r	i							et	2734		no	0	
226	Jane	f	young chimps	14	24/10/2018	2	46	training	r	r	c							et	1347		no	0	
227	Jane	f	young chimps	14	24/10/2018	2	47	test	l	r	i	ct	1453	cp	21	st	1715				yes	0	9
228	Jane	f	young chimps	14	24/10/2018	2	48	training	l	l	c							et	3140		no	0	
229	Jane	f	young chimps	14	24/10/2018	2	49	training	l	l	c									no end time	no	0	
230	Jane	f	young chimps	14	24/10/2018	2	50	training	r	r	c							et	1633		yes	0	
231	Jane	f	young chimps	14	24/10/2018	2	51	test	r	r	c	ct	1204	cp	22	st	1556				no	0	10
232	Jane	f	young chimps	14	24/10/2018	2	52	training	l	l	c							et	440		yes	0	
233	Jane	f	young chimps	14	24/10/2018	2	53	training	r	l	i							et	5268		yes	0	
234	Jane	f	young chimps	14	24/10/2018	2	54	training	l	r	i							et	2238		yes	0	
235	Jane	f	young chimps	14	24/10/2018	2	55	training	l	l	c							et	303		no	0	
236	Jane	f	young chimps	14	24/10/2018	2	56	test	r	l	i	ct	1203	cp	22	st	1462				yes	0	11
237	Jane	f	young chimps	14	24/10/2018	2	57	training	r	l	i							et	3914		no	0	
238	Jane	f	young chimps	14	24/10/2018	2	58	training	l	r	i							et	1587		yes	0	
239	Jane	f	young chimps	14	24/10/2018	2	59	training	r	r	c							et	1400		yes	0	
240	Jane	f	young chimps	14	24/10/2018	2	60	test	l	l	c	ct	1052	cp	21	st	1347				yes	0	12
241	Roy	m	young chimps	11	23/10/2018	1	1	training	r	l	i							et	8119			0	
242	Roy	m	young chimps	11	23/10/2018	1	2	training	l	l	c							et	1184		yes	0	
243	Roy	m	young chimps	11	23/10/2018	1	3	training	r	l	i							et	4229		yes	0	
244	Roy	m	young chimps	11	23/10/2018	1	4	training	r	l	i							et	2316		no	0	
245	Roy	m	young chimps	11	23/10/2018	1	5	training	l	l	c							et	904		yes	0	
246	Roy	m	young chimps	11	23/10/2018	1	6	training	l	l	c							et	306		no	0	
247	Roy	m	young chimps	11	23/10/2018	1	7	training	r	l	i							et	3137		yes	0	
248	Roy	m	young chimps	11	23/10/2018	1	8	training	l	l	c							et	1108		yes	0	
249	Roy	m	young chimps	11	23/10/2018	1	9	training	r	l	i							et	1838		yes	0	
250	Roy	m	young chimps	11	23/10/2018	1	10	training	l	l	c							et	521		yes	0	
251	Roy	m	young chimps	11	23/10/2018	1	11	test	r	l	i	ct	3660	cp	22	st	4000				yes	1	1
252	Roy	m	young chimps	11	23/10/2018	1	12	training	l	r	i							et	2321		yes	0	
253	Roy	m	young chimps	11	23/10/2018	1	13	test	l	l	c	ct	1203	cp	21	st	1833				no	0	2
254	Roy	m	young chimps	11	23/10/2018	1	14	training	r	l	i							et	2299		yes	0	
255	Roy	m	young chimps	11	23/10/2018	1	15	training	r	l	i										no	0	
256	Roy	m	young chimps	11	23/10/2018	1	16	training	l	l	c							et	5358		yes	0	
257	Roy	m	young chimps	11	23/10/2018	1	17	test	l	l	c	ct	5363	cp	21	st	5655				no	0	3
258	Roy	m	young chimps	11	23/10/2018	1	18	training	l	l	i							et	6542		no	0	
259	Roy	m	young chimps	11	23/10/2018	1	19	training	l	l	c							et	920		no	0	
260	Roy	m	young chimps	11	23/10/2018	1	20	training	r	l	i							et	2389		yes	0	
261	Roy	m	young chimps	11	23/10/2018	1	21	training	l	l	c							et	6004		yes	0	
262	Roy	m	young chimps	11	23/10/2018	1	22	test	r	r	c	ct	4913	cp	22	st	5253				yes	0	4
263	Roy	m	young chimps	11	23/10/2018	1	23	training	l	l	c							et	530		yes	0	
264	Roy	m	young chimps	11	23/10/2018	1	24	test	r	l	i	ct	2507	cp	16	st	2629				yes	0	5
265	Roy	m	young chimps	11	23/10/2018	1	25	training	r	l	i							et	1673		no	0	
266	Roy	m	young chimps	11	23/10/2018	1	26	training	r	r	c							et	680		no	0	
267	Roy	m	young chimps	11	23/10/2018	1	27	training	r	r	c							et	22742		no	0	
268	Roy	m	young chimps	11	23/10/2018	1	28	training	l	l	c							et	676		yes	0	
269	Roy	m	young chimps	11	23/10/2018	1	29	test	l	l	c	ct	1053	cp	21	st	1262				no	0	6
270	Roy	m	young chimps	11	23/10/2018	1	30	training	l	l	c							et	508		no	0	
271	Roy	m	young chimps	11	24/10/2018	2	31	test	l	l	c	ct	1354	cp	21	st	1653					0	7
272	Roy	m	young chimps	11	24/10/2018	2	32	training	r	l	i							et	1418		yes	0	
273	Roy	m	young chimps	11	24/10/2018	2	33	training	r	r	c							et	689		no	0	
274	Roy	m	young chimps	11	24/10/2018	2	34	training	l	r	i							et	3424		yes	0	
275	Roy	m	young chimps	11	24/10/2018	2	35	training	l	l	c							et	759		no	0	
276	Roy	m	young chimps	11	24/10/2018	2	36	training	r	l	i							et	2352		yes	0	
277	Roy	m	young chimps	11	24/10/2018	2	37	training	l	l	c							et	840		yes	0	
278	Roy	m	young chimps	11	24/10/2018	2	38	training	r	l	i							et	1422		yes	0	
279	Roy	m	young chimps	11	24/10/2018	2	39	training	l	l	c							et	821		yes	0	
280	Roy	m	young chimps	11	24/10/2018	2	40	training	r	l	i							et	2853		yes	0	
281	Roy	m	young chimps	11	24/10/2018	2	41	test	r	r	c	ct	1354	cp	22	st	2356				no	0	8
282	Roy	m	young chimps	11	24/10/2018	2	42	training	l	l	c							et	694		yes	0	
283	Roy	m	young chimps	11	24/10/2018	2	43	training	l	l	c							et	1029		no	0	
284	Roy	m	young chimps	11	24/10/2018	2	44	training	r	r	c							et	581		yes	0	
285	Roy	m	young chimps	11	24/10/2018	2	45	training	r	r	c							et	562		no	0	
286	Roy	m	young chimps	11	24/10/2018	2	46	training	r	r	c							et	495		no	0	
287	Roy	m	young chimps	11	24/10/2018	2	47	test	l	r	i	ct	1102	cp	21	st	1367				yes	0	9
288	Roy	m	young chimps	11	24/10/2018	2	48	training	l	r	i							et	2851		no	0	
289	Roy	m	young chimps	11	24/10/2018	2	49	training	l	l	c							et	907		no	0	
290	Roy	m	young chimps	11	24/10/2018	2	50	training	r	l	i							et	4530		yes	0	
