Subject	Sex	Group	Age	Date	Condition	Number_boxes	Trial_number	trial_correct	number_redundant_searched	1st_choice	2nd_choice	second_choice_correct	third_choice	third_choice_correct	comment
Joy	f	young chimps	14	05/12/2018	one_platform	3	6	1	0	1	2	1	3	1	
Safari	m	old chimps	34	13/12/2018	one_platform	2	1	1	0	2	1	1			
Safari	m	old chimps	34	13/12/2018	one_platform	2	2	1	0	2	1	1			
Safari	m	old chimps	34	13/12/2018	one_platform	2	3	1	0	2	1	1			
Safari	m	old chimps	34	13/12/2018	one_platform	2	4	1	0	2	1	1			
Safari	m	old chimps	34	13/12/2018	one_platform	2	5	1	0	2	1	1			
Safari	m	old chimps	34	13/12/2018	one_platform	2	6	1	0	2	1	1			
Safari	m	old chimps	34	13/12/2018	one_platform	3	1	0	1	2	3	1	2	0	
Safari	m	old chimps	34	13/12/2018	one_platform	3	2	1	0	2	3	1	1	1	
Safari	m	old chimps	34	13/12/2018	one_platform	3	3	1	0	3	2	1	1	1	
Safari	m	old chimps	34	13/12/2018	one_platform	3	4	0	1	2	2	0	3	1	
Safari	m	old chimps	34	13/12/2018	one_platform	3	5	0	1	3	2	1	2	0	
Safari	m	old chimps	34	13/12/2018	one_platform	3	6	0	1	2	2	0	3	1	
Oscar	m	old chimps	21	12/12/2018	one_platform	2	1	1	0	1	2	1			
Oscar	m	old chimps	21	12/12/2018	one_platform	2	2	1	0	1	2	1			
Oscar	m	old chimps	21	12/12/2018	one_platform	2	3	0	1	1	1	0			
Oscar	m	old chimps	21	12/12/2018	one_platform	2	4	0	1	1	1	0			
Oscar	m	old chimps	21	12/12/2018	one_platform	2	5	0	1	1	1	0			
Oscar	m	old chimps	21	12/12/2018	one_platform	2	6	0	1	1	1	0			
Oscar	m	old chimps	21	12/12/2018	one_platform	3	1	1	0	3	2	1	1	1	
Oscar	m	old chimps	21	12/12/2018	one_platform	3	2	0	1	3	2	1	3	0	
Oscar	m	old chimps	21	12/12/2018	one_platform	3	3	0	1	3	2	1	2	0	
Oscar	m	old chimps	21	12/12/2018	one_platform	3	4	0	1	3	2	1	2	0	
Oscar	m	old chimps	21	12/12/2018	one_platform	3	5	0	1	3	2	1	2	0	
Oscar	m	old chimps	21	12/12/2018	one_platform	3	6	0	1	3	2	1	2	0	
Judy	f	old chimps	35	13/12/2018	one_platform	2	1	1	0	2	1	1			
Judy	f	old chimps	35	13/12/2018	one_platform	2	2	1	0	2	1	1			
Judy	f	old chimps	35	13/12/2018	one_platform	2	3	1	0	2	1	1			
Judy	f	old chimps	35	13/12/2018	one_platform	2	4	1	0	1	2	1			
Judy	f	old chimps	35	13/12/2018	one_platform	2	5	1	0	2	1	1			
Judy	f	old chimps	35	13/12/2018	one_platform	2	6	1	0	2	1	1			
Judy	f	old chimps	35	13/12/2018	one_platform	3	1	1	0	1	3	1	2	1	
Judy	f	old chimps	35	13/12/2018	one_platform	3	2	0	2	2	2	0	2	0	
Judy	f	old chimps	35	13/12/2018	one_platform	3	3	0	1	3	2	1	2	0	
Judy	f	old chimps	35	13/12/2018	one_platform	3	4	0	1	2	2	0	3	1	
Judy	f	old chimps	35	13/12/2018	one_platform	3	5	1	0	3	2	1	1	1	
Judy	f	old chimps	35	13/12/2018	one_platform	3	6	0	1	3	2	1	2	0	
Alley	f	old chimps	31	13/12/2018	one_platform	2	1	1	0	2	1	1			
Alley	f	old chimps	31	13/12/2018	one_platform	2	2	1	0	2	1	1			
Alley	f	old chimps	31	13/12/2018	one_platform	2	3	1	0	2	1	1			
Alley	f	old chimps	31	13/12/2018	one_platform	2	4	1	0	2	1	1			
Alley	f	old chimps	31	13/12/2018	one_platform	2	5	1	0	2	1	1			
Alley	f	old chimps	31	13/12/2018	one_platform	2	6	1	0	2	1	1			
Alley	f	old chimps	31	13/12/2018	one_platform	3	1	1	0	2	1	1	3		
Alley	f	old chimps	31	13/12/2018	one_platform	3	2	1	0	2	1	1	3		
Alley	f	old chimps	31	13/12/2018	one_platform	3	3	1	0	2	1	1	3		session stopped after this trial due to interference from another chimp
Alley	f	old chimps	31	14/12/2018	one_platform	3	4	0	1	1	3	1	1	0	
Alley	f	old chimps	31	14/12/2018	one_platform	3	5	0	1	1	2	1	2	0	
Alley	f	old chimps	31	14/12/2018	one_platform	3	6	1	0	1	2	1	3	1	
George	m	old chimps	15	15/12/2018	one_platform	2	1	0	1	2	2	0			
George	m	old chimps	15	15/12/2018	one_platform	2	2	1	0	2	1	1			
George	m	old chimps	15	15/12/2018	one_platform	2	3			2					did not make a second choice within 1 min
George	m	old chimps	15	15/12/2018	one_platform	2	4			2					did not make a second choice within 1 min
George	m	old chimps	15	16/12/2018	one_platform	2	5	0	1	2	2	0			
George	m	old chimps	15	16/12/2018	one_platform	2	6			2					did not make a second choice within 1 min
George	m	old chimps	15	16/12/2018	one_platform	3	1			2					did not make a second choice within 1 min
Ajabu	f	old chimps	10	14/12/2018	one_platform	2	1	0	1	2	2	0			
Ajabu	f	old chimps	10	14/12/2018	one_platform	2	2	1	0	2	1	1			
Ajabu	f	old chimps	10	14/12/2018	one_platform	2	3	1	0	1	2	1			
Ajabu	f	old chimps	10	14/12/2018	one_platform	2	4	0	1	2	2	0			
Ajabu	f	old chimps	10	14/12/2018	one_platform	2	5	1	0	1	2	1			
Ajabu	f	old chimps	10	14/12/2018	one_platform	2	6	0	1	2	2	0			
Ajabu	f	old chimps	10	14/12/2018	one_platform	3	1	1	0	2	1	1	3	1	
Ajabu	f	old chimps	10	14/12/2018	one_platform	3	2	1	0	2	3	1	1	1	
Ajabu	f	old chimps	10	14/12/2018	one_platform	3	3	1	0	2	3	1	1	1	
