Subject	Gender	Group	Age	Date	Trial	Type	Grid	2nd task	Nr. Until find Grid	choice P2	corr P2	Comment	choice01	choice01_x	choice01_y	food_x	food_y	distance_c01
Dufatanya	m	young chimps	27	14/11/2018	12	test	15	2->3	7	2	0		11	3	3	3	4	1
Akela	f	young chimps	30	15/11/2018	1	warm-up	8		13				6	2	2	4	2	2
Akela	f	young chimps	30	15/11/2018	2	warm-up	3		5				7	3	2	3	1	1
Akela	f	young chimps	30	15/11/2018	1	test	9	1->2	11	2	1		11	3	3	1	3	2
Akela	f	young chimps	30	15/11/2018	2	test	6	3->1	2	1	1		14	2	4	2	2	2
Akela	f	young chimps	30	15/11/2018	3	test	10	2->3	8	3	1		7	3	2	2	3	1.414213562
Akela	f	young chimps	30	15/11/2018	4	test	12	3->2	14	2	1		7	3	2	4	3	1.414213562
Akela	f	young chimps	30	15/11/2018	5	test	2	2->1	7	1	1		15	3	4	2	1	3.16227766
Akela	f	young chimps	30	15/11/2018	6	test	11	1->3	26	3	1		7	3	2	3	3	1
Akela	f	young chimps	30	15/11/2018	7	test	5	1->2	4	2	1		8	4	2	1	2	3
Akela	f	young chimps	30	15/11/2018	8	test	3	3->2	4	2	1		7	3	2	3	1	1
Akela	f	young chimps	30	15/11/2018	9	test	14	1->3	2	3	1		7	3	2	2	4	2.236067977
Akela	f	young chimps	30	15/11/2018	10	test	8	2->1	8	1	1		7	3	2	4	2	1
Akela	f	young chimps	30	15/11/2018	11	test	7	3->1	1	1	1		7	3	2	3	2	0
Akela	f	young chimps	30	15/11/2018	12	test	15	2->3	10	3	1		16	4	4	3	4	1
Safari	m	old chimps	34	19/11/2018	1	warm-up	8		2				16	4	4	4	2	2
Safari	m	old chimps	34	19/11/2018	2	warm-up	3		2				8	4	2	3	1	1.414213562
Safari	m	old chimps	34	19/11/2018	1	test	9	1->2		2	1	"with apple, did not find the food"	5	1	2	1	3	1
Safari	m	old chimps	34	19/11/2018	2	test	6	3->1	1	2	0		6	2	2	2	2	0
Safari	m	old chimps	34	19/11/2018	3	test	10	2->3	1	3	1		10	2	3	2	3	0
Safari	m	old chimps	34	19/11/2018	4	test	12	3->2	1	3	0		12	4	3	4	3	0
Safari	m	old chimps	34	19/11/2018	5	test	2	2->1	10	1	1		12	4	3	2	1	2.828427125
Safari	m	old chimps	34	19/11/2018	6	test	11	1->3	1	2	0		11	3	3	3	3	0
Safari	m	old chimps	34	19/11/2018	7	test	5	1->2	5	2	1		12	4	3	1	2	3.16227766
Safari	m	old chimps	34	19/11/2018	8	test	3	3->2	6	3	0	"did not approach platform after this trial, session stopped"	6	2	2	3	1	1.414213562
Safari	m	old chimps	34	19/11/2018	9	test	14	1->3	1	3	1		14	2	4	2	4	0
Safari	m	old chimps	34	19/11/2018	10	test	8	2->1	7	2	0		10	2	3	4	2	2.236067977
Safari	m	old chimps	34	19/11/2018	11	test	7	3->1	3	2	0		12	4	3	3	2	1.414213562
Safari	m	old chimps	34	19/11/2018	12	test	15	2->3	15	2	0		11	3	3	3	4	1
Oscar	m	old chimps	21	19/11/2018	1	warm-up	8		4				4	4	1	4	2	1
Oscar	m	old chimps	21	19/11/2018	2	warm-up	3		1				3	3	1	3	1	0
Oscar	m	old chimps	21	19/11/2018	1	test	9	1->2	1	1	0		9	1	3	1	3	0
Oscar	m	old chimps	21	19/11/2018	2	test	6	3->1	2	1	1		8	4	2	2	2	2
Oscar	m	old chimps	21	19/11/2018	3	test	10	2->3	5	1	0		8	4	2	2	3	2.236067977
Oscar	m	old chimps	21	19/11/2018	4	test	12	3->2	9	1	0		4	4	1	4	3	2
Oscar	m	old chimps	21	19/11/2018	5	test	2	2->1	7	2	0		12	4	3	2	1	2.828427125
Oscar	m	old chimps	21	19/11/2018	6	test	11	1->3	1	1	0		11	3	3	3	3	0
Oscar	m	old chimps	21	19/11/2018	7	test	5	1->2	6	1	0		10	2	3	1	2	1.414213562
Oscar	m	old chimps	21	19/11/2018	8	test	3	3->2	8	3	0		11	3	3	3	1	2
Oscar	m	old chimps	21	19/11/2018	9	test	14	1->3	15	1	0		10	2	3	2	4	1
Oscar	m	old chimps	21	19/11/2018	10	test	8	2->1	5	1	1		6	2	2	4	2	2
Oscar	m	old chimps	21	19/11/2018	11	test	7	3->1	33	1	1		10	2	3	3	2	1.414213562
Oscar	m	old chimps	21	19/11/2018	12	test	15	2->3	4	2	0		11	3	3	3	4	1
Judy	f	old chimps	35	19/11/2018	1	warm-up	8		3				3	3	1	4	2	1.414213562
Judy	f	old chimps	35	19/11/2018	2	warm-up	3		4				5	1	2	3	1	2.236067977
Judy	f	old chimps	35	19/11/2018	1	test	9	1->2	9	1	0		10	2	3	1	3	1
Judy	f	old chimps	35	19/11/2018	2	test	6	3->1	13	3	0		11	3	3	2	2	1.414213562
Judy	f	old chimps	35	19/11/2018	3	test	10	2->3	6	1	0		9	1	3	2	3	1
Judy	f	old chimps	35	19/11/2018	4	test	12	3->2	3	3	0		11	3	3	4	3	1
Judy	f	old chimps	35	19/11/2018	5	test	2	2->1	8	1	1		11	3	3	2	1	2.236067977
Judy	f	old chimps	35	19/11/2018	6	test	11	1->3	1	3	1		11	3	3	3	3	0
Judy	f	old chimps	35	19/11/2018	7	test	5	1->2	2	2	1		6	2	2	1	2	1
Judy	f	old chimps	35	19/11/2018	8	test	3	3->2	3	2	1		6	2	2	3	1	1.414213562
Judy	f	old chimps	35	19/11/2018	9	test	14	1->3	4	3	1		11	3	3	2	4	1.414213562
Judy	f	old chimps	35	19/11/2018	10	test	8	2->1	6	1	1		11	3	3	4	2	1.414213562
Judy	f	old chimps	35	19/11/2018	11	test	7	3->1	1	1	1		7	3	2	3	2	0
Judy	f	old chimps	35	19/11/2018	12	test	15	2->3	24	3	1		12	4	3	3	4	1.414213562
Alley	f	old chimps	31	19/11/2018	1	warm-up	8		7				7	3	2	4	2	1
Alley	f	old chimps	31	19/11/2018	2	warm-up	3		2				7	3	2	3	1	1
Alley	f	old chimps	31	19/11/2018	1	test	9	1->2			0	"no second camera, reward in grid not found"	11	3	3	1	3	2
Alley	f	old chimps	31	19/11/2018	2	test	6	3->1			1	did not find the food reward	10	2	3	2	2	1
Alley	f	old chimps	31	19/11/2018	3	test	10	2->3			-	"no response in cup task for 1 min, grid task with apple"				2	3	
Alley	f	old chimps	31	19/11/2018	4	test	12	3->2	19		0		10	2	3	4	3	2
Alley	f	old chimps	31	19/11/2018	5	test	2	2->1		2	0	did not find the food reward	7	3	2	2	1	1.414213562
Alley	f	old chimps	31	19/11/2018	6	test	11	1->3								3	3	
Alley	f	old chimps	31	19/11/2018	7	test	5	1->2								1	2	
Alley	f	old chimps	31	19/11/2018	8	test	3	3->2								3	1	
Alley	f	old chimps	31	19/11/2018	9	test	14	1->3								2	4	
Alley	f	old chimps	31	19/11/2018	10	test	8	2->1								4	2	
Alley	f	old chimps	31	19/11/2018	11	test	7	3->1								3	2	
Alley	f	old chimps	31	19/11/2018	12	test	15	2->3								3	4	
George	m	old chimps	15	19/11/2018	1	warm-up	8		2				6	2	2	4	2	2
George	m	old chimps	15	19/11/2018	2	warm-up	3					"not found, stopped for one minute"	7	3	2	3	1	1
George	m	old chimps	15	19/11/2018	2	warm-up	3		8			repetition	7	3	2	3	1	1
George	m	old chimps	15	19/11/2018	1	test	9	1->2				"no response in 1 min, switched to apple, no response in 1 minute, session stopped"				1	3	
George	m	old chimps	15	19/11/2018	2	test	6	3->1								2	2	
George	m	old chimps	15	19/11/2018	3	test	10	2->3								2	3	
George	m	old chimps	15	19/11/2018	4	test	12	3->2								4	3	
George	m	old chimps	15	19/11/2018	5	test	2	2->1								2	1	
George	m	old chimps	15	19/11/2018	6	test	11	1->3								3	3	
George	m	old chimps	15	19/11/2018	7	test	5	1->2								1	2	
George	m	old chimps	15	19/11/2018	8	test	3	3->2								3	1	
George	m	old chimps	15	19/11/2018	9	test	14	1->3								2	4	
George	m	old chimps	15	19/11/2018	10	test	8	2->1								4	2	
George	m	old chimps	15	19/11/2018	11	test	7	3->1								3	2	
George	m	old chimps	15	19/11/2018	12	test	15	2->3								3	4	
Ajabu	f	old chimps	10	19/11/2018	1	warm-up	8		1				8	4	2	4	2	0
Ajabu	f	old chimps	10	19/11/2018	2	warm-up	3		5				10	2	3	3	1	2.236067977
Ajabu	f	old chimps	10	19/11/2018	1	test	9	1->2	12	1	0		11	3	3	1	3	2
Ajabu	f	old chimps	10	19/11/2018	2	test	6	3->1	35	1	1		11	3	3	2	2	1.414213562
Ajabu	f	old chimps	10	19/11/2018	3	test	10	2->3	1	2	0		10	2	3	2	3	0
Ajabu	f	old chimps	10	19/11/2018	4	test	12	3->2	1	1	0		12	4	3	4	3	0
Ajabu	f	old chimps	10	19/11/2018	5	test	2	2->1	8	1	1		11	3	3	2	1	2.236067977
Ajabu	f	old chimps	10	19/11/2018	6	test	11	1->3	2	1	0		10	2	3	3	3	1
Ajabu	f	old chimps	10	19/11/2018	7	test	5	1->2	5	1	0		10	2	3	1	2	1.414213562
Ajabu	f	old chimps	10	19/11/2018	8	test	3	3->2	7	1	0		10	2	3	3	1	2.236067977
Ajabu	f	old chimps	10	19/11/2018	9	test	14	1->3	1	1	0		14	2	4	2	4	0
Ajabu	f	old chimps	10	19/11/2018	10	test	8	2->1	12	1	1		11	3	3	4	2	1.414213562
Ajabu	f	old chimps	10	19/11/2018	11	test	7	3->1	3	1	1		10	2	3	3	2	1.414213562
Ajabu	f	old chimps	10	19/11/2018	12	test	15	2->3	1	1	0		15	3	4	3	4	0
Saidia	f	old chimps	15	19/11/2018	1	warm-up	8					did not find the food reward 	7	3	2	4	2	1
Saidia	f	old chimps	15	19/11/2018	1	warm-up	8		2				12	4	3	4	2	1
Saidia	f	old chimps	15	19/11/2018	2	warm-up	3		5				10	2	3	3	1	2.236067977
Saidia	f	old chimps	15	19/11/2018	1	test	9	1->2	2	1	0	session stopped after this trial due to interference from other chimps in neighbouring room	10	2	3	1	3	1
Saidia	f	old chimps	15	19/11/2018	2	test	6	3->1	1							2	2	
Saidia	f	old chimps	15	19/11/2018	3	test	10	2->3	1							2	3	
Saidia	f	old chimps	15	19/11/2018	4	test	12	3->2	1							4	3	
Saidia	f	old chimps	15	19/11/2018	5	test	2	2->1	1							2	1	
Saidia	f	old chimps	15	19/11/2018	6	test	11	1->3	1							3	3	
Saidia	f	old chimps	15	19/11/2018	7	test	5	1->2	1							1	2	
Saidia	f	old chimps	15	19/11/2018	8	test	3	3->2	1							3	1	
Saidia	f	old chimps	15	19/11/2018	9	test	14	1->3	1							2	4	
Saidia	f	old chimps	15	19/11/2018	10	test	8	2->1	1							4	2	
Saidia	f	old chimps	15	19/11/2018	11	test	7	3->1	1							3	2	
Saidia	f	old chimps	15	19/11/2018	12	test	15	2->3	1							3	4	
Angela	f	old chimps	7	19/11/2018	1	warm-up	8		6				11	3	3	4	2	1.414213562
Angela	f	old chimps	7	19/11/2018	2	warm-up	3		9				6	2	2	3	1	1.414213562
Angela	f	old chimps	7	19/11/2018	1	test	9	1->2	16	1	0		10	2	3	1	3	1
Angela	f	old chimps	7	19/11/2018	2	test	6	3->1	29	1	1		10	2	3	2	2	1
Angela	f	old chimps	7	19/11/2018	3	test	10	2->3	1	1	0		10	2	3	2	3	0
Angela	f	old chimps	7	19/11/2018	4	test	12	3->2	10	1	0		10	2	3	4	3	2
Angela	f	old chimps	7	19/11/2018	5	test	2	2->1	8	1	1		10	2	3	2	1	2
Angela	f	old chimps	7	19/11/2018	6	test	11	1->3	60	1	0		10	2	3	3	3	1
Angela	f	old chimps	7	19/11/2018	7	test	5	1->2	4	1	0		11	3	3	1	2	2.236067977
Angela	f	old chimps	7	19/11/2018	8	test	3	3->2	5	2	1		7	3	2	3	1	1
Angela	f	old chimps	7	19/11/2018	9	test	14	1->3	18	1	0		10	2	3	2	4	1
Angela	f	old chimps	7	19/11/2018	10	test	8	2->1	7	1	1		10	2	3	4	2	2.236067977
Angela	f	old chimps	7	19/11/2018	11	test	7	3->1	3	3	0		10	2	3	3	2	1.414213562
Angela	f	old chimps	7	19/11/2018	12	test	15	2->3	11	2	0		7	3	2	3	4	2
