Subject	Gender	Group	Age	Trial	Type	Grid	2ndtask_initial	2ndtask_end	NrUntilfindGrid	choice P2	corr P2	choice01	choice01_x	choice01_y	food_x	food_y	distance_c01	choice1_correct	choice02	choice03	choice04	choice05	choice06	choice07	choice08	choice09	choice10	choice11	choice12	choice13	choice14	choice15	choice16	choice17	choice18	choice19	choice20	choice21	choice22	choice23	choice24	choice25	choice26	choice27	choice28	choice29	choice30	choice31	choice32	choice33	choice34	choice35	choice36	choice37	choice38	choice39	choice40	choice41	choice42	choice43	choice44	choice45	choice46	choice47	choice48	choice49	choice50	choice51	choice52	choice53	choice54	choice55	choice56	choice57	choice58	choice59	choice60
Mary	f	old chimps	15	2	test	6	3	1	4	1	1	10	2	3	2	2	1	0	7	11	6																																																								
Mary	f	old chimps	15	3	test	10	2	3	1	2	0	10	2	3	2	3	0	1																																																											
Mary	f	old chimps	15	4	test	12	3	2	5	2	1	10	2	3	4	3	2	0	6	11	7	12																																																							
Mary	f	old chimps	15	5	test	2	2	1	30	1	1	10	2	3	2	1	2	0	11	7	10	6	5	9	14	11	8	7	6	10	9	12	16	15	14	10	9	10	11	12	11	10	9	12	16	3	2																														
Mary	f	old chimps	15	6	test	11	1	3	1	3	1	11	3	3	3	3	0	1																																																											
Mary	f	old chimps	15	7	test	5	1	2		2	1	10	2	3	1	2	1.414213562	0	6	7	12	16	11	10	9	13	14	15	10	6	7	8	12	16	10	6	11	12	14																																						
Mary	f	old chimps	15	8	test	3	3	2	11	2	1	11	3	3	3	1	2	0	10	6	8	12	16	15	14	10	6	3																																																	
Mary	f	old chimps	15	9	test	14	1	3	8	3	1	11	3	3	2	4	1.414213562	0	10	6	8	12	16	15	14																																																				
Mary	f	old chimps	15	10	test	8	2	1	10	1	1	11	3	3	4	2	1.414213562	0	10	6	7	3	novideo																																																						
Mary	f	old chimps	15	11	test	7	3	1	2	1	1				3	2																																																													
Mary	f	old chimps	15	12	test	15	2	3	5	3	1	6	2	2	3	4	2.236067977	0	11	12	16	15																																																							
Edvard	m	old chimps	18	1	warm-up	8			1			8	4	2	4	2	0	1																																																											
Edvard	m	old chimps	18	2	warm-up	3			3			4	4	1	3	1	1	0	8	3	11	7	4	3																																																					
Edvard	m	old chimps	18	1	test	9	1	2	3	2	1	7	3	2	1	3	2.236067977	0	6	9																																																									
Edvard	m	old chimps	18	2	test	6	3	1	2	1	1	11	3	3	2	2	1.414213562	0	6																																																										
Edvard	m	old chimps	18	3	test	10	2	3	1	3	1	10	2	3	2	3	0	1																																																											
Edvard	m	old chimps	18	4	test	12	3	2	6	2	1				4	3																																																													
Edvard	m	old chimps	18	5	test	2	2	1	5	2	0				2	1																																																													
Edvard	m	old chimps	18	6	test	11	1	3	8	3	1				3	3																																																													
Edvard	m	old chimps	18	7	test	5	1	2	4	2	1				1	2																																																													
Edvard	m	old chimps	18	8	test	3	3	2	2	3	0				3	1																																																													
Edvard	m	old chimps	18	9	test	14	1	3	16	2	0				2	4																																																													
Edvard	m	old chimps	18	10	test	8	2	1	8	2	0				4	2																																																													
Edvard	m	old chimps	18	11	test	7	3	1	7	2	0				3	2																																																													
Edvard	m	old chimps	18	12	test	15	2	3	12	2	0				3	4																																																													
Zee	m	old chimps	18	1	warm-up	8			1			8	4	2	4	2	0	1																																																											
Zee	m	old chimps	18	2	warm-up	3			8			4	4	1	3	1	1	0	6	1	12	16	9	7	3																																																				
Zee	m	old chimps	18	1	test	9	1	2	6	2	1	7	3	2	1	3	2.236067977	0	6	1	8	4	9																																																						
Zee	m	old chimps	18	2	test	6	3	1	1	3	0	6	2	2	2	2	0	1																																																											
Zee	m	old chimps	18	3	test	10	2	3	13	2	0	6	2	2	2	3	1	0	5	9	11	12	4	1	12	16	15	16	14	10																																															
Zee	m	old chimps	18	4	test	12	3	2	10	2	1	7	3	2	4	3	1.414213562	0	6	10	11	5	1	3	2	4	12																																																		
Zee	m	old chimps	18	5	test	2	2	1	4	2	0	3	3	1	2	1	1	0	7	6	2																																																								
Zee	m	old chimps	18	6	test	11	1	3	2	3	1	6	2	2	3	3	1.414213562	0	11																																																										
Zee	m	old chimps	18	7	test	5	1	2	2	2	1	7	3	2	1	2	2	0	5																																																										
Zee	m	old chimps	18	8	test	3	3	2	6	2	1	7	3	2	3	1	1	0	6	5	1	4	3																																																						
Zee	m	old chimps	18	9	test	14	1	3	18	3	1	6	2	2	2	4	2	0	5	1	8	7	11	10	9	13	15	11	5	4	3	2	6	10	14																																										
Zee	m	old chimps	18	10	test	8	2	1	15	2	0	7	3	2	4	2	1	0	6	11	10	5	1	11	14	10	13	15	16	12	4	8																																													
Zee	m	old chimps	18	11	test	7	3	1	1	3	0	7	3	2	3	2	0	1																																																											
Zee	m	old chimps	18	12	test	15	2	3	11	3	1	10	2	3	3	4	1.414213562	0	6	7	11	10	5	1	3	8	12	15																																																	
Cheetah	f	old chimps	31	1	warm-up	8			2			12	4	3	4	2	1	0	8																																																										
Cheetah	f	old chimps	31	2	warm-up	3			1			3	3	1	3	1	0	1																																																											
Cheetah	f	old chimps	31	1	test	9	1	2	6	2	1	6	2	2	1	3	1.414213562	0	7	3	8	12	9																																																						
Cheetah	f	old chimps	31	2	test	6	3	1	4	3	0	9	1	3	2	2	1.414213562	0	13	10	6																																																								
Cheetah	f	old chimps	31	3	test	10	2	3	3	3	1	6	2	2	2	3	1	0	9	10																																																									
Cheetah	f	old chimps	31	4	test	12	3	2	1	3	0	12	4	3	4	3	0	1																																																											
Cheetah	f	old chimps	31	5	test	2	2	1	7	2	0	3	3	1	2	1	1	0	6	7	8	9	5	2																																																					
Cheetah	f	old chimps	31	6	test	11	1	3	1	3	1	11	3	3	3	3	0	1																																																											
Cheetah	f	old chimps	31	7	test	5	1	2	6	2	1	6	2	2	1	2	1	0	7	8	2	1	5																																																						
Cheetah	f	old chimps	31	8	test	3	3	2	18	2	1	6	2	2	3	1	1.414213562	0	5	6	7	11	9	10	1	2	4	8	12	9	13	14	15	16	3																																										
Cheetah	f	old chimps	31	9	test	14	1	3	4	3	1	10	2	3	2	4	1	0	6	10	14																																																								
Cheetah	f	old chimps	31	10	test	8	2	1	9	1	1	10	2	3	4	2	2.236067977	0	6	7	3	5	1	2	4	8																																																			
Cheetah	f	old chimps	31	11	test	7	3	1	14	2	0	10	2	3	3	2	1.414213562	0	11	8	12	3	1	2	6	13	14	16	15	11	7																																														
Cheetah	f	old chimps	31	12	test	15	2	3	6	3	1	7	3	2	3	4	2	0	8	11	12	14	15																																																						
Alikaka	m	old chimps	16	1	warm-up	8			1			8	4	2	4	2	0	1																																																											
Alikaka	m	old chimps	16	2	warm-up	3			21			12	4	3	3	1	2.236067977	0	7	6	5	10	15	13	9	7	2	4	12	16	15	14	9	5	1	6	8	3																																							
Alikaka	m	old chimps	16	1	test	9	1	2	4	2	1	6	2	2	1	3	1.414213562	0	7	11	9																																																								
Alikaka	m	old chimps	16	2	test	6	3	1	2	3	0	5	1	2	2	2	1	0	6																																																										
Alikaka	m	old chimps	16	3	test	10	2	3	11	3	1	11	3	3	2	3	1	0	7	5	6	9	5	9	1	3	2	10																																																	
Alikaka	m	old chimps	16	4	test	12	3	2	5	3	0	10	2	3	4	3	2	0	5	6	7	12																																																							
Alikaka	m	old chimps	16	5	test	2	2	1	12	3	0	8	4	2	2	1	2.236067977	0	6	11	10	9	12	16	15	14	13	9	2																																																
Alikaka	m	old chimps	16	6	test	11	1	3	26	3	1	7	3	2	3	3	1	0	8	12	16	10	9	5	1	3	2	4	8	9	10	6	14	13	9	5	1	2	3	8	12	11																																			
Alikaka	m	old chimps	16	7	test	5	1	2	3	2	1	10	2	3	1	2	1.414213562	0	6	5																																																									
Alikaka	m	old chimps	16	8	test	3	3	2	1	2	1	3	3	1	3	1	0	1																																																											
Alikaka	m	old chimps	16	9	test	14	1	3	9	3	1	12	4	3	2	4	2.236067977	0	8	4	2	1	9	11	15	14																																																			
Alikaka	m	old chimps	16	10	test	8	2	1	5	1	1	10	2	3	4	2	2.236067977	0	6	3	4	8																																																							
Alikaka	m	old chimps	16	11	test	7	3	1	2	1	1	8	4	2	3	2	1	0	7																																																										
Alikaka	m	old chimps	16	12	test	15	2	3	10	3	1	10	2	3	3	4	1.414213562	0	9	5	2	1	7	8	4	3	15																																																		
Niyonkuru	m	young chimps	28	1	warm-up	8			14			14	2	4	4	2	2.828427125	0	15	14	13	9	10	11	6	5	1	2	3	4	8																																														
Niyonkuru	m	young chimps	28	2	warm-up	3			2			4	4	1	3	1	1	0	3																																																										
Niyonkuru	m	young chimps	28	1	test	9	1	2	3	2	1	5	1	2	1	3	1	0	2	9																																																									
Niyonkuru	m	young chimps	28	2	test	6	3	1	60	1	1	2	2	1	2	2	1	0	1	5	9	13	14	15	11	7	8	4	3	2	1	5	9	13	14	10	11	15	16	12	8	4	3	2	1	5	9	13	14	15	16	12	5	14	15	16	11	7	2	3	9	13	14	15	13	1	7	8	7	8	12	16	15	14	10	6	
Niyonkuru	m	young chimps	28	3	test	10	2	3	1	3	1	10	2	3	2	3	0	1																																																											
Niyonkuru	m	young chimps	28	4	test	12	3	2	14	2	1	11	3	3	4	3	1	0	7	6	2	5	9	14	10	11	15	16	8	4	12																																														
Niyonkuru	m	young chimps	28	5	test	2	2	1	30	3	0	6	2	2	2	1	1	0	7	3	5	13	9	10	11	7	8	4	3	7	6	5	13	14	15	16	12	10	13	9	14	15	16	7	3	4	2																														
Niyonkuru	m	young chimps	28	6	test	11	1	3	2	3	1	6	2	2	3	3	1.414213562	0	11																																																										
Niyonkuru	m	young chimps	28	7	test	5	1	2	2	2	1	6	2	2	1	2	1	0	5																																																										
Niyonkuru	m	young chimps	28	8	test	3	3	2	12	2	1	7	3	2	3	1	1	0	6	5	10	13	14	15	11	7	8	4	3																																																
Niyonkuru	m	young chimps	28	9	test	14	1	3	5	2	0	7	3	2	2	4	2.236067977	0	6	10	13	14																																																							
Niyonkuru	m	young chimps	28	10	test	8	2	1	13	2	0	11	3	3	4	2	1.414213562	0	15	14	13	9	5	1	2	3	4	3	7	8																																															
Niyonkuru	m	young chimps	28	11	test	7	3	1	6	3	0	11	3	3	3	2	1	0	3	4	2	6	7																																																						
Niyonkuru	m	young chimps	28	12	test	15	2	3	11	3	1	7	3	2	3	4	2	0	6	3	4	8	11	10	6	5	14	15																																																	
Kisa	m	young chimps	25	1	warm-up	8			6			15	3	4	4	2	2.236067977	0	14	10	6	7	8																																																						
Kisa	m	young chimps	25	2	warm-up	3			4			4	4	1	3	1	1	0	8	4	3																																																								
Kisa	m	young chimps	25	1	test	9	1	2	3	2	1	11	3	3	1	3	2	0	10	9																																																									
Kisa	m	young chimps	25	2	test	6	3	1	17	1	1	11	3	3	2	2	1.414213562	0	10	9	5	1	5	9	13	14	10	11	12	16	15	14	13	6																																											
Kisa	m	young chimps	25	3	test	10	2	3	1	3	1	10	2	3	2	3	0	1																																																											
Kisa	m	young chimps	25	4	test	12	3	2	8	3	0	11	3	3	4	3	1	0	3	2	1	6	10	11	12																																																				
Kisa	m	young chimps	25	5	test	2	2	1	18	1	1	3	3	1	2	1	1	0	7	12	16	15	14	13	9	13	14	15	12	16	8	4	3	2																																											
Kisa	m	young chimps	25	6	test	11	1	3	1	1	0	11	3	3	3	3	0	1																																																											
Kisa	m	young chimps	25	7	test	5	1	2	6	3	0	11	3	3	1	2	2.236067977	0	6	3	2	1	4																																																						
Kisa	m	young chimps	25	8	test	3	3	2	19	1	0	10	2	3	3	1	2.236067977	0	14	15	11	12	16	15	14	13	9	5	6	1	13	14	15	8	3																																										
Kisa	m	young chimps	25	9	test	14	1	3	2	2	0	15	3	4	2	4	1	0	14																																																										
Kisa	m	young chimps	25	10	test	8	2	1	10	2	0	15	3	4	4	2	2.236067977	0	14	10	13	9	6	5	2	3	8																																																		
Kisa	m	young chimps	25	11	test	7	3	1	2	1	1	8	4	2	3	2	1	0	7																																																										
Kisa	m	young chimps	25	12	test	15	2	3	10	3	1	11	3	3	3	4	1	0	10	8	7	3	2	6	10	13	15																																																		
Joy	f	young chimps	14	1	warm-up	8						3	3	1	4	2	1.414213562	0	15	3	16	15	14	16	7	5	13	15	16	7	3	2	1	10	14	16	6	2	7	6	11	3	2	14	13	5	8																														
Joy	f	young chimps	14	2	warm-up	3			2			6	2	2	3	1	1.414213562	0	3																																																										
Joy	f	young chimps	14	1	test	9	1	2	10	2	1	2	2	1	1	3	2.236067977	0	1	15	14	16	8	3	1	5	9																																																		
Joy	f	young chimps	14	2	test	6	3	1	1	3	0	6	2	2	2	2	0	1																																																											
Joy	f	young chimps	14	3	test	10	2	3	6	3	1	6	2	2	2	3	1	0	7	11	15	14	10																																																						
Joy	f	young chimps	14	4	test	12	3	2	12	2	1	11	3	3	4	3	1	0	15	7	6	10	14	13	9	5	7	8	12																																																
Joy	f	young chimps	14	5	test	2	2	1	7	1	1	7	3	2	2	1	1.414213562	0	11	15	14	10	6	2																																																					
Joy	f	young chimps	14	6	test	11	1	3	7	3	1	6	2	2	3	3	1.414213562	0	10	14	13	5	7	11																																																					
Joy	f	young chimps	14	7	test	5	1	2	10	2	1	11	3	3	1	2	2.236067977	0	7	6	10	15	16	14	13	9	5																																																		
Joy	f	young chimps	14	8	test	3	3	2	20	2	1	11	3	3	3	1	2	0	6	1	2	5	10	14	13	9	8	12	16	15	11	7	6	1	5	3																																									
Joy	f	young chimps	14	9	test	14	1	3	5	3	1	7	3	2	2	4	2.236067977	0	12	11	15	14																																																							
Joy	f	young chimps	14	10	test	8	2	1	11	1	1	10	2	3	4	2	2.236067977	0	11	15	14	9	5	9	13	15	12	8																																																	
Joy	f	young chimps	14	11	test	11	3	1	3	1	1	7	3	2	3	3	1	0	6	11																																																									
Joy	f	young chimps	14	12	test	15	2	3	2	3	1	11	3	3	3	4	1	0	15																																																										
Bahati	m	young chimps	25	1	warm-up	8			4			15	3	4	4	2	2.236067977	0	16	12	8																																																								
Bahati	m	young chimps	25	2	warm-up	3			17			8	4	2	3	1	1.414213562	0	7	6	13	15	16	12	8	7	6	5	11	9	13	5	2	3																																											
Bahati	m	young chimps	25	1	test	9	1	2	12	3	0	6	2	2	1	3	1.414213562	0	7	5	13	12	8	16	15	11	10	13	9																																																
Bahati	m	young chimps	25	2	test	6	3	1	1	2	0	6	2	2	2	2	0	1																																																											
Bahati	m	young chimps	25	3	test	10	2	3	13	1	0	6	2	2	2	3	1	0	4	8	7	6	5	9	13	14	15	16	12	10																																															
Bahati	m	young chimps	25	4	test	12	3	2	7	1	0	10	2	3	4	3	2	0	9	13	14	15	16	12																																																					
Bahati	m	young chimps	25	5	test	2	2	1	22	1	1	5	1	2	2	1	1.414213562	0	6	7	9	13	14	10	11	7	6	5	1	4	3	7	8	16	11	6	9	5	2																																						
Bahati	m	young chimps	25	6	test	11	1	3	31	1	0	6	2	2	3	3	1.414213562	0	5	9	13	10	6	7	3	4	1	5	6	7	2	4	8	7	6	2	5	9	13	10	9	5	1	2	7	6	7	11																													
Bahati	m	young chimps	25	7	test	5	1	2	1	2	1	5	1	2	1	2	0	1																																																											
Bahati	m	young chimps	25	8	test	3	3	2	4	2	1	2	2	1	3	1	1	0	1	5	3																																																								
Bahati	m	young chimps	25	9	test	14	1	3	3	1	0	9	1	3	2	4	1.414213562	0	13	14																																																									
Bahati	m	young chimps	25	10	test	8	2	1	11	2	0	15	3	4	4	2	2.236067977	0	14	13	5	9	10	6	1	2	7	8																																																	
Bahati	m	young chimps	25	11	test	7	3	1	8	1	1	13	1	4	3	2	2.828427125	0	10	14	11	16	12	8	7																																																				
Bahati	m	young chimps	25	12	test	15	2	3	4	2	0	8	4	2	3	4	2.236067977	0	12	16	15																																																								
Dufatanya	m	young chimps	27	1	warm-up	8			1			8	4	2	4	2	0	1																																																											
Dufatanya	m	young chimps	27	2	warm-up	3			11			6	2	2	3	1	1.414213562	0	7	6	5	9	14	15	8	2	4	3																																																	
Dufatanya	m	young chimps	27	1	test	9	1	2	7	1	0	7	3	2	1	3	2.236067977	0	8	6	14	10	5	9																																																					
Dufatanya	m	young chimps	27	2	test	6	3	1	1	1	1	6	2	2	2	2	0	1																																																											
Dufatanya	m	young chimps	27	3	test	10	2	3	1	2	0	10	2	3	2	3	0	1																																																											
Dufatanya	m	young chimps	27	4	test	12	3	2	3	2	1	10	2	3	4	3	2	0	11	12																																																									
Dufatanya	m	young chimps	27	5	test	2	2	1	6	1	1	10	2	3	2	1	2	0	8	12	16	3	2																																																						
Dufatanya	m	young chimps	27	6	test	11	1	3	32	2	0	10	2	3	3	3	1	0	6	10	14	12	6	7	2	3	4	2	1	6	8	12	16	15	14	10	9	14	10	6	2	1	5	3	4	8	12	11																													
Dufatanya	m	young chimps	27	7	test	5	1	2	6	2	1	6	2	2	1	2	1	0	7	8	11	10	5																																																						
Dufatanya	m	young chimps	27	8	test	3	3	2	6	2	1	7	3	2	3	1	1	0	6	5	2	4	3																																																						
Dufatanya	m	young chimps	27	9	test	14	1	3	3	1	0	11	3	3	2	4	1.414213562	0	10	14																																																									
Dufatanya	m	young chimps	27	10	test	8	2	1	7	1	1	6	2	2	4	2	2	0	10	14	7	3	4	8																																																					
Dufatanya	m	young chimps	27	11	test	7	3	1	2	2	0	11	3	3	3	2	1	0	7																																																										
Dufatanya	m	young chimps	27	12	test	15	2	3	7	2	0	11	3	3	3	4	1	0	7	3	6	5	10	15																																																					
Akela	f	young chimps	30	1	warm-up	8			13			6	2	2	4	2	2	0	7	11	15	14	13	5	6	7	3	7	4	8																																															
Akela	f	young chimps	30	2	warm-up	3			5			7	3	2	3	1	1	0	8	7	6	3																																																							
Akela	f	young chimps	30	1	test	9	1	2	11	2	1	11	3	3	1	3	2	0	7	6	3	8	12	16	14	15	13	9																																																	
Akela	f	young chimps	30	2	test	6	3	1	2	1	1	14	2	4	2	2	2	0	6																																																										
Akela	f	young chimps	30	3	test	10	2	3	8	3	1	7	3	2	2	3	1.414213562	0	6	8	3	2	16	14	10																																																				
Akela	f	young chimps	30	4	test	12	3	2	14	2	1	7	3	2	4	3	1.414213562	0	6	3	2	5	16	14	13	10	6	2	4	8	12																																														
Akela	f	young chimps	30	5	test	2	2	1	7	1	1	15	3	4	2	1	3.16227766	0	6	3	7	8	4	2																																																					
Akela	f	young chimps	30	6	test	11	1	3	26	3	1	7	3	2	3	3	1	0	3	7	5	6	14	15	16	12	8	4	2	6	5	1	2	3	4	15	14	13	16	15	14	10	11																																		
Akela	f	young chimps	30	7	test	5	1	2	4	2	1	8	4	2	1	2	3	0	7	6	5																																																								
Akela	f	young chimps	30	8	test	3	3	2	4	2	1	7	3	2	3	1	1	0	6	5	3																																																								
Akela	f	young chimps	30	9	test	14	1	3	2	3	1	7	3	2	2	4	2.236067977	0	14																																																										
Akela	f	young chimps	30	10	test	8	2	1	8	1	1	7	3	2	4	2	1	0	6	5	2	1	3	4	8																																																				
Akela	f	young chimps	30	11	test	7	3	1	1	1	1	7	3	2	3	2	0	1																																																											
Akela	f	young chimps	30	12	test	15	2	3	10	3	1	16	4	4	3	4	1	0	14	7	5	2	8	12	16	14	15																																																		
Safari	m	old chimps	34	1	warm-up	8			2			16	4	4	4	2	2	0	8																																																										
Safari	m	old chimps	34	2	warm-up	3			2			8	4	2	3	1	1.414213562	0	3																																																										
Safari	m	old chimps	34	1	test	9	1	2		2	1	5	1	2	1	3	1	0	1	2	3	4	3	5	10	11	12	8	7	16	12	16	15																																												
Safari	m	old chimps	34	2	test	6	3	1	1	2	0	6	2	2	2	2	0	1																																																											
Safari	m	old chimps	34	3	test	10	2	3	1	3	1	10	2	3	2	3	0	1																																																											
Safari	m	old chimps	34	4	test	12	3	2	1	3	0	12	4	3	4	3	0	1																																																											
Safari	m	old chimps	34	5	test	2	2	1	10	1	1	12	4	3	2	1	2.828427125	0	11	10	9	5	6	7	8	3	2																																																		
Safari	m	old chimps	34	6	test	11	1	3	1	2	0	11	3	3	3	3	0	1																																																											
Safari	m	old chimps	34	7	test	5	1	2	5	2	1	12	4	3	1	2	3.16227766	0	10	11	6	5																																																							
Safari	m	old chimps	34	8	test	3	3	2	6	3	0	6	2	2	3	1	1.414213562	0	5	7	2	1	3																																																						
Safari	m	old chimps	34	9	test	14	1	3	1	3	1	14	2	4	2	4	0	1																																																											
Safari	m	old chimps	34	10	test	8	2	1	7	2	0	10	2	3	4	2	2.236067977	0	9	5	1	3	4	8																																																					
Safari	m	old chimps	34	11	test	7	3	1	3	2	0	12	4	3	3	2	1.414213562	0	11	7																																																									
Safari	m	old chimps	34	12	test	15	2	3	15	2	0	11	3	3	3	4	1	0	10	6	8	7	3	2	1	5	9	6	4	12	16	15																																													
Oscar	m	old chimps	21	1	warm-up	8			4			4	4	1	4	2	1	0	1	3	8																																																								
Oscar	m	old chimps	21	2	warm-up	3			1			3	3	1	3	1	0	1																																																											
Oscar	m	old chimps	21	1	test	9	1	2	1	1	0	9	1	3	1	3	0	1																																																											
Oscar	m	old chimps	21	2	test	6	3	1	2	1	1	8	4	2	2	2	2	0	6																																																										
Oscar	m	old chimps	21	3	test	10	2	3	5	1	0	8	4	2	2	3	2.236067977	0	1	6	5	10																																																							
Oscar	m	old chimps	21	4	test	12	3	2	9	1	0	4	4	1	4	3	2	0	7	6	1	2	3	4	8	12																																																			
Oscar	m	old chimps	21	5	test	2	2	1	7	2	0	12	4	3	2	1	2.828427125	0	8	6	3	4	1	2																																																					
Oscar	m	old chimps	21	6	test	11	1	3	1	1	0	11	3	3	3	3	0	1																																																											
Oscar	m	old chimps	21	7	test	5	1	2	6	1	0	10	2	3	1	2	1.414213562	0	11	8	7	6	5																																																						
Oscar	m	old chimps	21	8	test	3	3	2	8	3	0	11	3	3	3	1	2	0	10	9	5	6	7	8	3																																																				
Oscar	m	old chimps	21	9	test	14	1	3	15	1	0	10	2	3	2	4	1	0	5	6	7	8	3	2	1	5	9	10	11	12	15	14																																													
Oscar	m	old chimps	21	10	test	8	2	1	5	1	1	6	2	2	4	2	2	0	1	2	7	8																																																							
Oscar	m	old chimps	21	11	test	7	3	1	33	1	1	10	2	3	3	2	1.414213562	0	11	8	12	16	15	14	9	10	6	1	2	3	4	8	12	11	10	13	14	13	9	10	11	15	16	15	14	13	9	10	11	7																											
Oscar	m	old chimps	21	12	test	15	2	3	4	2	0	11	3	3	3	4	1	0	8	12	15																																																								
Judy	f	old chimps	35	1	warm-up	8			3			3	3	1	4	2	1.414213562	0	4	8																																																									
Judy	f	old chimps	35	2	warm-up	3			4			5	1	2	3	1	2.236067977	0	1	4	3																																																								
Judy	f	old chimps	35	1	test	9	1	2	9	1	0	10	2	3	1	3	1	0	11	8	12	4	3	2	1	9																																																			
Judy	f	old chimps	35	2	test	6	3	1	13	3	0	11	3	3	2	2	1.414213562	0	10	9	5	1	3	2	1	3	4	8	7	6																																															
Judy	f	old chimps	35	3	test	10	2	3	6	1	0	9	1	3	2	3	1	0	5	1	2	6	10																																																						
Judy	f	old chimps	35	4	test	12	3	2	3	3	0	11	3	3	4	3	1	0	10	12																																																									
Judy	f	old chimps	35	5	test	2	2	1	8	1	1	11	3	3	2	1	2.236067977	0	12	7	14	9	5	1	2																																																				
Judy	f	old chimps	35	6	test	11	1	3	1	3	1	11	3	3	3	3	0	1																																																											
Judy	f	old chimps	35	7	test	5	1	2	2	2	1	6	2	2	1	2	1	0	5																																																										
Judy	f	old chimps	35	8	test	3	3	2	3	2	1	6	2	2	3	1	1.414213562	0	2	3																																																									
Judy	f	old chimps	35	9	test	14	1	3	4	3	1	11	3	3	2	4	1.414213562	0	10	13	14																																																								
Judy	f	old chimps	35	10	test	8	2	1	6	1	1	11	3	3	4	2	1.414213562	0	10	9	6	7	8																																																						
Judy	f	old chimps	35	11	test	7	3	1	1	1	1	7	3	2	3	2	0	1																																																											
Judy	f	old chimps	35	12	test	15	2	3	24	3	1	12	4	3	3	4	1.414213562	0	11	10	8	7	6	5	1	2	3	4	8	12	14	13	9	5	1	2	3	4	12	16	15																																				
Alley	f	old chimps	31	1	warm-up	8			7			7	3	2	4	2	1	0	6	11	10	5	15	8																																																					
Alley	f	old chimps	31	2	warm-up	3			2			7	3	2	3	1	1	0	3																																																										
Alley	f	old chimps	31	1	test	9	1	2	4	1	0	10	2	3	1	3	1	0	11	10	9																																																								
Alley	f	old chimps	31	2	test	6	3	1	4	1	1	10	2	3	2	2	1	0	11	9	6																																																								
Alley	f	old chimps	31	3	test	10	2	3	1	2	0	10	2	3	2	3	0	1																																																											
Alley	f	old chimps	31	4	test	12	3	2	9	2	1	10	2	3	4	3	2	0	11	7	6	8	4	3	10	12																																																			
Alley	f	old chimps	31	5	test	2	2	1	8	1	1	6	2	2	2	1	1	0	10	11	12	7	6	10	2																																																				
Alley	f	old chimps	31	6	test	11	1	3	19	2	0	10	2	3	3	3	1	0	6	12	8	4	12	4	10	6	10	7	2	1	3	10	13	12	10	11																																									
Alley	f	old chimps	31	7	test	5	1	2		2	1	10	2	3	1	2	1.414213562	0	11	6	7	4	3	2	16	10	11	12	1	2																																															
Alley	f	old chimps	31	8	test	3	3	2		2	1	11	3	3	3	1	2	0	10	15	12	8	13	14	9	5	1	9																																																	
